case_id,module,priority,model_priority,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-011,学习报告-状态流转,P0,P1,P0,P0,decided,hard_guard_promotion,high,,网络异常时进入报告列表页：红点与'新'标记保留不消除,REJECT,semantic_duplicate:TC-010,False,False,False
TC-013,学习报告-状态流转,P0,P1,P0,P0,decided,hard_guard_promotion,high,,专项计划学习报告：新报告红点提醒及新标记，点击列表页后消除,REJECT,semantic_duplicate:TC-010,False,False,False
TC-014,学习报告-状态流转,P0,P1,P0,P0,decided,hard_guard_promotion,high,,多条新报告同时生成时红点与'新'标记状态：仅最新报告显示'新'标记，进入列表页后全部消除,REJECT,semantic_duplicate:TC-010,False,False,False
TC-022,作文区-论坛详情,P1,P1,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P1,suggested=P2",作文详情-标题和字数显示边界：超长标题截断、字数为0的作文,PENDING,contains_pending_logic,False,True,False
TC-023,作文区-论坛详情,P1,P0,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P0,suggested=P2",作文详情-原文图片加载失败异常处理：缩略图加载失败时的展示,PENDING,contains_pending_logic,False,True,False
TC-026,作文区-论坛详情,P2,P2,P2,P2,decided,model_semantic_consistent,high,,作文论坛详情-不展示原文图片：投稿时未勾选，详情页仅显示作文标题,REJECT,semantic_duplicate:TC-021,False,False,False
TC-027,作文区-论坛详情,P2,P2,P2,P2,decided,model_semantic_consistent,high,,作文论坛详情-展示原文图片：投稿时勾选展示，详情页右侧显示缩略图并可放大查看,REJECT,semantic_duplicate:TC-021,False,False,False
TC-041,作文区-额外入口,P2,P2,P2,P2,decided,model_semantic_consistent,high,,作文区额外入口：从乐乐作文课程进入写作素材页，验证精选作文列表展示,REJECT,semantic_duplicate:TC-040,False,False,False
TC-043,发帖/回帖限制-异常,P2,P2,P2,P2,decided,p2_cap_guard,high,,发帖次数用尽时toast提示：验证提示文案内容,REJECT,semantic_duplicate:TC-044,False,False,False
TC-044,发帖/回帖限制-状态流转,P2,P2,P2,P2,decided,p2_cap_guard,high,,学习时长额外获得发帖机会：端内学习15分钟（不含论坛时长）额外获得1次,REJECT,semantic_duplicate:TC-047,False,False,False
TC-064,帖子详情-回复排序,P2,P2,P2,P2,decided,p2_cap_guard,high,,回复最新排序：按回复时间倒序排列，最新回复在最前,REJECT,semantic_duplicate:TC-063,False,False,False
TC-075,论坛首页-内容分区权限,P2,P2,P2,P2,decided,p2_cap_guard,high,,选择内容分区-官方区发帖权限验证：仅官方账户可发帖,REJECT,semantic_duplicate:TC-074,False,False,False
