case_id,main_workflow_hit,preferred_pattern_hit,cross_page_state_transition,p1_uplifted,p2_cap,final_priority
TC-001,True,False,True,False,False,P2
TC-002,True,False,False,True,False,P2
TC-003,True,False,False,True,False,P2
TC-004,True,False,False,True,False,P2
TC-005,True,False,False,False,False,P2
TC-006,True,False,False,False,False,P2
TC-007,True,False,False,False,False,P2
TC-008,True,False,True,False,False,P2
TC-009,False,False,True,True,False,P2
TC-010,True,False,False,False,False,P2
TC-011,True,False,False,False,False,P1
TC-012,True,False,False,False,False,P2
TC-013,True,False,False,True,False,P2
TC-014,True,False,True,False,False,P1
TC-015,True,False,True,False,False,P1
TC-016,False,False,False,False,False,P2
TC-017,False,False,False,False,False,P2
TC-018,True,False,True,True,False,P2
TC-019,True,False,True,False,False,P1
TC-020,True,False,True,True,False,P2
TC-021,False,False,False,False,False,P2
TC-022,False,False,True,False,False,P1
TC-023,True,False,False,False,False,P1
TC-024,True,False,True,False,False,P1
TC-025,False,False,True,False,False,P1
TC-026,True,False,False,False,False,P2
