case_id,main_workflow_hit,preferred_pattern_hit,cross_page_state_transition,p1_uplifted,p2_cap,final_priority
TC-001,True,False,False,False,False,P1
TC-002,True,False,False,False,False,P1
TC-003,True,False,False,False,False,P2
TC-004,True,False,False,False,False,P1
TC-005,True,False,False,False,False,P1
TC-006,True,False,False,False,False,P2
TC-007,True,False,False,False,False,P1
TC-008,True,False,False,False,False,P1
TC-009,True,False,False,False,False,P1
TC-010,False,False,False,False,False,P2
TC-011,False,False,False,False,False,P2
TC-012,False,False,False,False,False,P1
TC-013,False,False,False,False,False,P1
TC-014,False,False,True,False,False,P1
TC-015,False,False,True,False,False,P1
TC-016,False,False,True,False,False,P1
TC-017,False,False,True,False,False,P1
TC-018,False,False,True,False,False,P1
TC-019,False,False,True,False,False,P2
TC-020,False,False,True,False,False,P2
TC-021,True,False,False,False,False,P1
TC-022,True,False,False,False,False,P1
TC-023,False,False,True,False,False,P1
TC-024,False,False,True,False,False,P1
TC-025,False,False,True,False,False,P1
TC-026,False,False,True,False,False,P1
TC-027,False,False,True,False,False,P1
TC-028,False,False,False,False,False,P2
TC-029,False,False,False,False,False,P2
TC-030,False,False,True,False,False,P1
TC-031,True,False,False,False,False,P1
TC-032,False,False,True,False,False,P1
TC-033,True,False,False,False,False,P1
TC-034,True,False,False,True,False,P2
TC-035,True,False,False,False,False,P1
TC-036,True,False,False,False,False,P1
TC-037,False,False,False,False,False,P1
TC-038,False,False,False,False,False,P1
TC-039,True,False,False,False,False,P1
TC-040,False,False,False,False,False,P1
TC-041,True,False,False,False,False,P1
TC-042,True,False,False,False,False,P1
TC-043,False,False,False,False,False,P2
TC-044,False,False,False,False,False,P1
TC-045,False,False,False,False,False,P1
TC-046,True,False,True,False,False,P2
TC-047,False,False,False,False,False,P2
TC-048,False,False,False,False,False,P2
TC-049,False,False,False,False,False,P2
TC-050,False,False,False,False,False,P2
TC-051,True,False,False,True,False,P2
TC-052,False,False,False,False,False,P2
TC-053,False,False,False,False,False,P2
TC-054,False,False,False,False,False,P2
TC-055,False,False,True,False,False,P2
