case_id,module,priority,model_priority,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,作文批改,P2,P0,P2,P2,undetermined,conflict_resolved_by_non_blocking_experience_rule,medium,"model=P0,suggested=P2",投稿规则弹窗-未滑动到底部时'我知道了'按钮置灰不可点击且弹窗不可关闭,PASS,-,False,False,False
TC-002,作文批改,P1,P1,P1,P1,decided,model_semantic_consistent,high,,帖子状态-已发布点击跳转他人作品页-审核失败显示原因Tips点击外部关闭,PASS,-,False,False,False
TC-003,作文批改,P2,P2,P2,P2,decided,model_semantic_consistent,high,,过审后我的作文入口显红点-点击自动弹出通过提示,PASS,-,False,False,False
TC-004,作文批改,P0,P2,P0,P0,decided,strong_p0_signal_guard,medium,,"上传作文-未上传任何图片时""去批改""按钮置灰不可点击",PASS,-,False,False,False
TC-005,作文批改,P2,P0,P2,P2,undetermined,conflict_resolved_by_non_blocking_experience_rule,medium,"model=P0,suggested=P2","上传作文-上传≥1张图片后""去批改""按钮点亮可点击",PASS,-,False,False,False
TC-006,作文批改,P2,P0,P2,P2,undetermined,conflict_resolved_by_non_blocking_experience_rule,medium,"model=P0,suggested=P2",上传作文-大图左右滑动预览已上传图片,PASS,-,False,False,False
TC-007,作文批改,P1,P0,P1,P1,decided,guarded_downgrade,medium,,投稿页展示实时字数统计与AI识别正文-支持点击编辑后提交成功状态变更为审核中,PASS,-,False,False,False
TC-008,作文批改,P1,P0,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P0,suggested=P2","批改频次-剩余0次时点击""去批改""Toast提示次数已用完",PASS,-,False,False,False
TC-009,作文批改,P2,P0,P2,P2,undetermined,conflict_resolved_by_non_blocking_experience_rule,medium,"model=P0,suggested=P2",投稿规则弹窗-滑动至底部后'我知道了'按钮点亮可点击关闭弹窗,PASS,-,False,False,False
TC-010,作文批改,P1,P0,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P0,suggested=P2",AI批改识别流-图片居中播放识别动画5-10秒后结果分批加载原图平移右侧,PASS,-,False,False,False
TC-011,作文批改,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,删除作品-仅下架公开列表清空评论点赞但保留本地批改记录,PASS,-,False,False,False
TC-012,作文批改,P1,P1,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P1,suggested=P2",作文圈精选排序-按权重公式S=0.3L+0.2R+0.5T排序展示,PASS,-,False,False,False
TC-013,作文批改,P0,P1,P0,P0,decided,hard_guard_promotion,high,,上传作文-支持拍照与相册多选上传图片,PASS,-,False,False,False
TC-014,作文批改,P2,P0,P2,P2,undetermined,conflict_resolved_by_non_blocking_experience_rule,medium,"model=P0,suggested=P2",分享H5-标题副标题正文完整展示及底部交互与全链路深度跳转APP,PASS,-,False,False,False
