case_id,module,priority,model_priority,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,作文圈,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,删除自己的作品后，我的作文记录恢复未投稿状态，出现【投稿】按钮,REJECT,semantic_duplicate:TC-008,False,False,False
TC-002,作文圈,P2,P2,P2,P2,decided,model_semantic_consistent,high,,作文圈精选TAB排序算法验证：按权重公式S=0.3L+0.2R+0.5T排序,REJECT,semantic_duplicate:TC-009,False,False,False
TC-014,作文批改-批改反馈,P1,P1,P1,P1,decided,model_semantic_consistent,high,,批改反馈-分句点评：点击照片上被划线的句子跳转到对应点评位置,REJECT,semantic_duplicate:TC-063,False,False,False
TC-020,作文批改,P2,P2,P2,P2,decided,model_semantic_consistent,high,,批改次数用尽（5/5）后【去批改】按钮禁用并提示不可用,PENDING,contains_pending_logic,False,True,False
TC-021,作文批改,P2,P2,P2,P2,decided,model_semantic_consistent,high,,上传作文图片时，用户拒绝相册/拍照权限，验证系统提示或功能降级,PENDING,contains_pending_logic,False,True,False
TC-023,作文批改,P2,P2,P2,P2,decided,model_semantic_consistent,high,,综合点评中写作要求星星评分显示：满分6星和0星的情况,REJECT,semantic_duplicate:TC-065,False,False,False
TC-026,课程列表页,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,普通用户点击锁定课程跳转会员中心后返回，课程列表仍保持锁定状态,REJECT,semantic_duplicate:TC-024,False,False,False
TC-029,课程导航/工具,P2,P2,P2,P2,decided,p2_cap_guard,high,,写作秘籍入口可正常跳转至技法收藏页,REJECT,semantic_duplicate:TC-028,False,False,False
TC-043,课程列表页-权限,P2,P2,P2,P2,decided,p2_cap_guard,high,,普通用户第一课免费试学验证——可正常进入并学习第一个环节,REJECT,semantic_duplicate:TC-024,False,False,False
TC-045,作文批改-上传操作,P2,P2,P2,P2,decided,model_semantic_consistent,high,,批改上传图片删除操作——已上传3张图片，删除中间一张后缩略图顺序更新,REJECT,semantic_duplicate:TC-086,False,False,False
TC-047,作文批改-我的作文,P2,P2,P2,P2,decided,model_semantic_consistent,high,,我的作文列表超过20条时自动删除最旧记录验证,REJECT,semantic_duplicate:TC-049,False,False,False
TC-048,作文批改-我的作文,P2,P2,P2,P2,decided,model_semantic_consistent,high,,我的作文缺省状态显示缺省图+文案“看看他人的作文吧”+“去批改”按钮，点击跳转,REJECT,semantic_duplicate:TC-018,False,False,False
TC-052,写作素材,P2,P2,P2,P2,decided,p2_cap_guard,high,,下载资料PDF内容验证：仅包含好词好句、名家鉴赏、优秀范文的主体内容，不包含界面点评框体,REJECT,semantic_duplicate:TC-051,False,False,False
TC-054,写作素材,P2,P2,P2,P2,decided,model_semantic_consistent,high,,写作素材-好词好句页面按类型分组显示，若无分组则不显示小分类名,PENDING,contains_pending_logic,False,True,False
TC-055,写作素材,P2,P2,P2,P2,decided,model_semantic_consistent,high,,优秀范文页面：单篇时不显示顶部序号，多篇时显示序号可切换,REJECT,semantic_duplicate:TC-053,False,False,False
TC-057,导航-错题本,P2,P2,P2,P2,decided,model_semantic_consistent,high,,从课程列表页进入错题本——验证跳转到同步作文错题本列表页,REJECT,semantic_duplicate:TC-028,False,False,False
TC-058,写作素材-下载资料,P2,P2,P2,P2,decided,model_semantic_consistent,high,,下载资料弹窗标题显示当前单元名称和作文主题名称,PENDING,contains_pending_logic,False,True,False
TC-072,写作秘籍,P2,P2,P2,P2,decided,p2_cap_guard,high,,完成当前课程最后一个环节（技法巩固）并至少获得1颗星，验证获得1个写作技法,REJECT,semantic_duplicate:TC-070,False,False,False
TC-074,写作秘籍,P2,P2,P2,P2,decided,p2_cap_guard,high,,完成课程最后一个环节并至少获得1颗星后，写作秘籍列表立即刷新显示新秘籍已点亮,REJECT,semantic_duplicate:TC-070,False,False,False
TC-075,写作秘籍,P2,P2,P2,P2,decided,p2_cap_guard,high,,点击未获得的秘籍，打开未获得提示弹窗，点击【去学习】返回课程列表页,REJECT,semantic_duplicate:TC-071,False,False,False
TC-077,写作秘籍-获得方式,P2,P2,P2,P2,decided,p2_cap_guard,high,,完成课程最后一个环节（技法巩固）并至少获得1颗星后，写作秘籍列表中新增一个技法且已点亮,REJECT,semantic_duplicate:TC-070,False,False,False
TC-083,作文批改-提交,P2,P2,P2,P2,decided,model_semantic_consistent,high,,至少上传1张图片时【去批改】按钮可点击，按钮上方显示剩余批改次数,REJECT,semantic_duplicate:TC-018,False,False,False
TC-084,写作秘籍-获得蒙层,P2,P2,P2,P2,decided,p2_cap_guard,high,,写作秘籍获得蒙层——同一课程第二次完成最后一个环节后不再弹出蒙层,REJECT,semantic_duplicate:TC-073,False,False,False
TC-088,作文批改-综合点评,P2,P2,P2,P2,decided,model_semantic_consistent,high,,批改隐形字数要求边界测试——三年级作文字数恰好300字时批改正常进行,REJECT,semantic_duplicate:TC-065,False,False,False
