case_id,module,priority,model_priority,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-005,督导端-按钮规则,P2,P2,P2,P2,decided,model_semantic_consistent,high,,验证督导端学员没有讲错题时，操作栏不显示'查看讲错题'按钮,REJECT,semantic_duplicate:TC-006,False,False,False
TC-006,督导端-状态同步,P1,P1,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P1,suggested=P2",验证督导端学员完成讲错题后，对应学员行的'查看讲错题'按钮变为可点击,REJECT,semantic_duplicate:TC-010,False,False,False
TC-008,督导端,P2,P2,P2,P2,decided,model_semantic_consistent,high,,验证评分解读页面的支持/否定按钮（虽未明确但考虑实现，实际上属于督导看到的结果），补充覆盖督导端查看讲错题后关闭窗口回到学员列表状态不变,REJECT,semantic_duplicate:TC-006,False,False,False
TC-011,督导端,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,验证督导端点击“查看学习记录”按钮，跳转到该学员的学习记录页面,REJECT,semantic_duplicate:TC-010,False,False,False
TC-012,督导端,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,验证督导端点击操作中的“编辑课后报告”按钮，跳转到课后报告编辑页面,REJECT,semantic_duplicate:TC-010,False,False,False
TC-013,督导端,P2,P2,P2,P2,decided,model_semantic_consistent,high,,验证督导端按钮规则：学员未完成讲错题时按钮置灰不可点击,REJECT,semantic_duplicate:TC-004,False,False,False
TC-014,督导端,P2,P2,P2,P2,decided,p2_cap_guard,high,,验证督导端查看讲错题详情窗口显示通过/未通过标识及完整对话记录,REJECT,semantic_duplicate:TC-010,False,False,False
TC-015,督导端,P2,P2,P2,P2,decided,model_semantic_consistent,high,,验证督导端按钮规则：没有讲错题时按钮不显示,REJECT,semantic_duplicate:TC-010,False,False,False
TC-020,学员端AI讲错题交互,P2,P2,P2,P2,decided,model_semantic_consistent,high,,边界值测试：综合评分精确为7.99分时，弹窗显示“太遗憾了”及对应按钮,REJECT,semantic_duplicate:TC-039,False,False,False
TC-021,学员端AI讲错题交互,P2,P2,P2,P2,decided,model_semantic_consistent,high,,边界值测试：综合评分精确为8.0分时，弹窗显示“太棒啦”及对应按钮,REJECT,semantic_duplicate:TC-020,False,False,False
TC-030,学员端AI讲错题交互,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,验证学员端点击“返回”按钮后页面正确跳转到上一级页面（如随堂测页面）,REJECT,semantic_duplicate:TC-032,False,False,False
TC-035,学员端AI讲错题交互,P2,P2,P2,P2,decided,model_semantic_consistent,high,,验证综合评分在9-10分段时，鼓励语展示正确的高分段文案,REJECT,semantic_duplicate:TC-020,False,False,False
TC-036,学员端AI讲错题交互,P2,P2,P2,P2,decided,model_semantic_consistent,high,,验证综合评分在4-5.9分段时，鼓励语展示正确的低分段文案,REJECT,semantic_duplicate:TC-020,False,False,False
TC-037,学员端AI讲错题交互,P2,P2,P2,P2,decided,model_semantic_consistent,high,,验证综合评分在7.5-8.9分段时，鼓励语展示正确的文案,REJECT,semantic_duplicate:TC-020,False,False,False
TC-039,学员端AI讲错题交互,P2,P2,P2,P2,decided,model_semantic_consistent,high,,验证最终打分（10分制）中思路准确性、步骤完整性、表达清晰度的得分与鼓励语的对应关系,REJECT,semantic_duplicate:TC-070,False,False,False
TC-042,学员端AI讲错题页面,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,验证学员端点击“点击对话”按钮后正常弹出输入框和语音录制按钮,REJECT,semantic_duplicate:TC-001,False,False,False
TC-048,督导端学员列表,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,验证督导端日期筛选器选择日期后，学员列表更新为对应日期的学习记录数据,PENDING,contains_pending_logic,False,True,False
