case_id,module,priority,model_priority,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-003,学员信息表格-学习进度,P1,P0,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P0,suggested=P2",学员信息表格-课后状态“报告”按钮显示逻辑（课程完成后显示）,REJECT,semantic_duplicate:TC-002,False,False,False
TC-004,学员信息表格-学习进度,P1,P0,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P0,suggested=P2",学员信息表格课后状态显示报告和历史记录按钮,REJECT,semantic_duplicate:TC-002,False,False,False
TC-006,学员信息表格-学习进度,P1,P1,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P1,suggested=P2",跨模块-学员信息表格未开始状态点击学习计划按钮跳转至学习计划页面,REJECT,semantic_duplicate:TC-002,False,False,False
TC-007,学员信息表格-学习进度,P2,P1,P2,P2,decided,p2_cap_guard,high,,学员信息表格-学习进度-课前状态点击“排课”按钮跳转至排课页并携带学员课程信息,REJECT,semantic_duplicate:TC-002,False,False,False
TC-008,学员信息表格-学习进度,P2,P1,P2,P2,decided,p2_cap_guard,high,,学员信息表格课前状态显示排课按钮且跳转排课页携带信息,REJECT,semantic_duplicate:TC-002,False,False,False
TC-010,学员信息表格-学习进度,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,学员信息表格未开始状态点击'学习计划'按钮跳转至学习计划页面（验证落地页标题）,REJECT,semantic_duplicate:TC-002,False,False,False
TC-011,学员信息表格-学习进度,P1,P1,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P1,suggested=P2",学员信息表格-未开始状态文案与按钮文字验证,REJECT,semantic_duplicate:TC-002,False,False,False
TC-013,学员信息表格-学习进度,P2,P2,P2,P2,decided,p2_cap_guard,high,,学员信息表格-课后状态“讲错题”按钮显示逻辑（课程完成后显示）,REJECT,semantic_duplicate:TC-002,False,False,False
TC-014,学员信息表格-学习进度,P2,P2,P2,P2,decided,model_semantic_consistent,high,,学员信息表格-课后状态“完成”按钮显示逻辑（课程未完成时显示）,REJECT,semantic_duplicate:TC-002,False,False,False
TC-015,学员信息表格-学习进度,P2,P2,P2,P2,decided,model_semantic_consistent,high,,学员信息表格未开始状态显示文案及按钮,REJECT,semantic_duplicate:TC-002,False,False,False
TC-030,排课-新增计划,P1,P1,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P1,suggested=P2",排课-新增计划-第一步：已选课程列表清空功能验证,REJECT,semantic_duplicate:TC-032,False,False,False
TC-038,排课-新增计划,P2,P2,P2,P2,decided,model_semantic_consistent,high,,排课-新增计划-第一步：最近测评成绩无测评时不显示文案及自动选课按钮,REJECT,semantic_duplicate:TC-032,False,False,False
TC-039,排课-新增计划,P2,P2,P2,P2,decided,model_semantic_consistent,high,,排课-新增计划-第一步：最近测评成绩显示逻辑（近半年有测评则显示）,REJECT,semantic_duplicate:TC-032,False,False,False
TC-043,课堂管理,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,课堂管理-禁止快进开关关闭后，播放器快进按钮不可用验证,REJECT,semantic_duplicate:TC-044,False,False,False
TC-063,学习计划页面,P2,P2,P2,P2,decided,p2_cap_guard,high,,某周某科目无课程时隐藏该周标题,REJECT,semantic_duplicate:TC-066,False,False,False
TC-065,学习计划页面,P2,P2,P2,P2,decided,model_semantic_consistent,high,,学习计划页面-时间分组格式验证（yyyy.MM.dd~yyyy.MM.dd）,REJECT,semantic_duplicate:TC-064,False,False,False
TC-066,学习计划页面,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,历史课程卡片底部显示复习按钮,REJECT,semantic_duplicate:TC-067,False,False,False
TC-077,近期学习计划逻辑,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,正在学课程被删除或修改时间后正确读取最新数据,PENDING,contains_pending_logic,False,True,False
TC-085,首页-本周进度模块,P2,P2,P2,P2,decided,model_semantic_consistent,high,,首页本周进度模块-个人进度“已完成课程数/本周总课程数”显示与百分比一致验证,PENDING,contains_pending_logic,False,True,False
TC-087,首页-本周进度模块,P1,P1,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P1,suggested=P2",首页本周进度模块无课程时展示旧版本空状态文案,REJECT,semantic_duplicate:TC-088,False,False,False
TC-095,排课-编辑计划,P1,P1,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P1,suggested=P2",排课-编辑计划-第一步可重新选课，第二步开始时间不可编辑验证,REJECT,semantic_duplicate:TC-097,False,False,False
TC-104,首页-本周任务模块,P1,P1,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P1,suggested=P2",首页本周任务卡片展示内容验证：标题、课程说明、操作按钮,REJECT,semantic_duplicate:TC-113,False,False,False
TC-107,首页-本周任务模块,P2,P2,P2,P2,decided,model_semantic_consistent,high,,禁止跳课开启时上一节未完成则学习按钮置灰并提示,REJECT,semantic_duplicate:TC-123,False,False,False
