candidate_index,case_id,description,test_module,model_priority_current,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,bucket,has_coverage_value,high_signal,covered_rule_ids
2,TC-002,验证已选择过教材/年级的用户再次进入系统，自动加载默认教材/年级的当前周数据。,全局控制与权限,P1,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",全局控制与权限|happy,False,False,"[""RULE-007"", ""RULE-009"", ""RULE-011""]"
3,TC-003,验证用户切换教材/年级，数据独立计数。,全局控制与权限,P1,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",全局控制与权限|happy,False,False,"[""RULE-007"", ""RULE-009"", ""RULE-011""]"
4,TC-004,验证未付费用户访问定位学系统核心功能受限。,全局控制与权限,P1,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",全局控制与权限|happy,False,False,"[""RULE-009"", ""RULE-010""]"
5,TC-005,验证教学周自动定位与手动切换功能。,全局控制与权限,P1,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",全局控制与权限|happy,False,False,"[""RULE-009""]"
6,TC-006,验证补做规则：在当前周（第10周）的补做期内，补做上周（第9周）的任务。,全局控制与权限,P1,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",全局控制与权限|happy,False,False,"[""RULE-009"", ""RULE-022""]"
10,TC-010,验证连续学习天数计算：连续完成学习后天数累加。,学习数据与统计,P2,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""学习数据与统计|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",学习数据与统计|happy,False,False,"[""RULE-019""]"
11,TC-011,验证连续学习天数中断清零规则。,学习数据与统计,P2,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""学习数据与统计|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",学习数据与统计|happy,False,False,"[""RULE-019"", ""RULE-020""]"
14,TC-014,验证薄弱点列表的排序规则（按知识点名称、关联、错题数、掌握度）与实时更新。,AI定位与推荐,P1,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""ai定位与推荐|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",ai定位与推荐|happy,False,False,"[""RULE-004"", ""RULE-024"", ""RULE-026""]"
15,TC-015,验证周末课程推荐基于本周全量答题数据生成，且周六周日内容相同。,AI定位与推荐,P1,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""ai定位与推荐|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",ai定位与推荐|happy,False,False,"[""RULE-004"", ""RULE-024"", ""RULE-027"", ""RULE-047""]"
16,TC-016,验证周末学习断点续播与进度同步。,周末学习与测评,P1,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""周末学习与测评|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",周末学习与测评|happy,False,False,"[""RULE-004"", ""RULE-028""]"
