candidate_index,case_id,description,test_module,model_priority_current,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,bucket,has_coverage_value,high_signal,covered_rule_ids
1,TC-001,未付费用户访问定位学系统完整功能，校验付费拦截,权限与付费校验,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""权限与付费校验|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-010"", ""RULE-048""], ""reuse_risk_hit"": false}",True,True,True,False,权限与付费校验|happy,False,False,"[""RULE-010"", ""RULE-048""]"
2,TC-002,付费用户首次进入定位学，选择教材与年级后默认保存并自动定位当前教学周,教材/年级选择与教学周定位,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""教材/年级选择与教学周定位|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-007"", ""RULE-011"", ""RULE-049""], ""reuse_risk_hit"": false}",True,True,True,False,教材/年级选择与教学周定位|happy,False,False,"[""RULE-007"", ""RULE-011"", ""RULE-049""]"
5,TC-005,教学周切换至更早历史周（超过上周补做期），仅可查看不可操作,教学周切换与查看限制,P2,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""教学周切换与查看限制|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-049""], ""reuse_risk_hit"": false}",True,True,True,False,教学周切换与查看限制|happy,False,False,"[""RULE-049""]"
9,TC-009,周末课程包：教研按本周错题本生成统一课程包，周六与周日内容相同,周末学习,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""周末学习|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-018"", ""RULE-047""], ""reuse_risk_hit"": false}",True,True,True,False,周末学习|happy,False,False,"[""RULE-018"", ""RULE-047""]"
10,TC-010,连续学习天数：完成一次刷题后+1，中断（隔天未完成）清零,学习数据与统计,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""学习数据与统计|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-019""], ""reuse_risk_hit"": false}",True,True,True,False,学习数据与统计|happy,False,False,"[""RULE-019""]"
11,TC-011,我的错题：AI判分后按日期归档，服务周末任务,错题归档,P2,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""错题归档|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-021""], ""reuse_risk_hit"": false}",True,True,True,False,错题归档|happy,False,False,"[""RULE-021""]"
12,TC-012,知识点掌握度：按本周答题情况计算，分三个等级,知识点掌握度,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""知识点掌握度|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-022""], ""reuse_risk_hit"": false}",True,True,True,False,知识点掌握度|happy,False,False,"[""RULE-022""]"
14,TC-014,薄弱点列表实时更新（当前周），历史周仅补做时更新,AI定位与推荐,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""ai定位与推荐|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 0, ""selected_case_ids"": [""TC-045""], ""selected_count_in_bucket"": 1, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": true, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-004"", ""RULE-024"", ""RULE-026"", ""RULE-046""], ""reuse_risk_hit"": false}",True,True,True,True,ai定位与推荐|happy,False,False,"[""RULE-004"", ""RULE-024"", ""RULE-026"", ""RULE-046""]"
16,TC-016,在线学习断点续播：退出后再次进入周末课程，从上次进度继续,周末学习与测评（在线）,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""周末学习与测评（在线）|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-028""], ""reuse_risk_hit"": false}",True,True,True,False,周末学习与测评（在线）|happy,False,False,"[""RULE-028""]"
22,TC-022,督导端智能课堂：点击'申请拍照判题'，提交后走拍照判题流程,督导端智能课堂,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""督导端智能课堂|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 13, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [""RULE-017""], ""unique_coverage_hits"": [""RULE-004"", ""RULE-017"", ""RULE-030"", ""RULE-042"", ""RULE-045"", ""RULE-046"", ""RULE-047"", ""RULE-048"", ""RULE-049""], ""reuse_risk_hit"": false}",True,True,True,False,督导端智能课堂|happy,True,False,"[""RULE-004"", ""RULE-017"", ""RULE-030"", ""RULE-042"", ""RULE-045"", ""RULE-046"", ""RULE-047"", ""RULE-048"", ""RULE-049""]"
25,TC-025,无薄弱点/无学习数据时，相关按钮置灰与兜底文案,异常与边界,P2,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""异常与边界|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-004"", ""RULE-022"", ""RULE-049"", ""RULE-058"", ""RULE-060""], ""reuse_risk_hit"": false}",True,True,True,False,异常与边界|happy,False,False,"[""RULE-004"", ""RULE-022"", ""RULE-049"", ""RULE-058"", ""RULE-060""]"
27,TC-027,拍照判题错题归集支持跨模块跳转至错题本,错题本与去重,P2,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""错题本与去重|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-039"", ""RULE-040""], ""reuse_risk_hit"": false}",True,True,True,False,错题本与去重|happy,False,False,"[""RULE-039"", ""RULE-040""]"
