case_id,module,priority,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,任务与判分-周中判分,P1,周中任务-提交即AI判分：用户完成周中题目并提交后，AI即时判分并自动归档错题,PASS,-,False,False,False
TC-002,全局控制与权限-付费校验,P1,核心闭环-付费拦截：未付费用户尝试访问周末课程推荐页时，系统拦截并引导付费,PASS,-,False,False,False
TC-003,全局控制与权限-付费校验,P1,付费校验接口网络异常时提示重试,PASS,-,False,False,False
TC-004,全局控制与权限-付费校验,P1,付费权限过期后访问周末课程推荐页被拦截,PASS,-,False,False,False
TC-005,全局控制与权限-付费校验,P1,已付费用户正常访问周末课程推荐页,PASS,-,False,False,False
TC-006,全局控制与权限-付费校验,P1,已付费用户正常访问薄弱点列表,PASS,-,False,False,False
TC-007,全局控制与权限-付费校验,P2,付费权限在周日24:00:00过期边界：周一00:00:01访问周末课程推荐页被拦截,PASS,-,False,False,False
TC-008,学习数据与统计-周一习题本,P1,周一习题本-自动生成与三态：周一用户完成当日学习任务后，自动生成习题本且状态正确,PASS,-,False,False,False
TC-009,跨模块联动-首页工单台,P1,跨模块联动-首页工单台同步任务状态：用户完成任务后首页任务状态即时更新,PASS,-,False,False,False
TC-010,学习报告页-返回首页,P1,返回首页-标记周末任务已完成：用户从学习报告页点击返回首页后，当前周周末任务被标记为已完成,PASS,-,False,False,False
TC-011,学习报告页-分享,P1,学习报告-分享家长仅读：家长通过微信访问分享链接只能查看，无法进行任何操作,PASS,-,False,False,False
TC-012,异常与边界-网络异常,P2,网络异常-通用提示保留已加载数据：网络中断时页面显示提示且不丢失已加载内容,PASS,-,False,False,False
TC-013,周末学习与测评-随堂测评,P1,随堂测评-全流程：用户打印题-手写-拍照上传-OCR+AI判分，错题归入‘定位学-数学’,PASS,-,False,False,False
TC-014,任务与判分-任务状态,P1,任务状态-只有已完成/待完成：周中任务提交后状态变为已完成,PASS,-,False,False,False
TC-015,全局控制与权限-教学周,P1,教学周-自动定位与切换：系统自动定位当前教学周，支持向前/向后切换,PASS,-,False,False,False
TC-016,全局控制与权限-教材/年级,P1,教材/年级-切换独立计数：切换教材/年级后，任务进度与数据独立统计,PASS,-,False,False,False
TC-017,全局控制与权限-过期规则,P1,过期规则-周日24:00后仅可查看：当前周周日24:00后任务状态变为只读,PASS,-,False,False,False
TC-018,督导端-完成判卷,P1,督导端-完成判卷仅流程标记：督导点击‘完成判卷’后学情数据不变,PASS,-,False,False,False
TC-019,学习报告页,P1,学习报告-补做后全量覆盖更新：用户补做上周任务后，上周学习报告内容被全量替换,PASS,-,False,False,False
AUTO-CORE-FLOW,学习路径-核心工作流,P1,验证完整学习路径闭环：学课文 -> 词组消消乐 -> 选词填空 -> 返回首页,REPAIRABLE,-,False,False,False
