case_id,module,priority,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,教学周与补做,P1,切换教学周至上一周（在补做期内）并补做任务,PASS,-,False,False,False
TC-002,教学周与补做,P2,尝试切换至历史周（早于上周）进行补做,PASS,-,False,False,False
TC-003,教学周与补做,P2,尝试对过期周（周日24:00后）进行操作,PASS,-,True,False,False
TC-004,核心闭环,P1,验证核心教学闭环（采集-定位-推荐-反馈）的完整流程,PASS,-,False,False,False
TC-005,督导端,P1,验证督导端单题错题集流程：入错题本但不触发错题推荐,PASS,-,False,False,False
TC-006,督导端,P1,督导端：督导点击“申请拍照判题”并完成单题判卷流程,PASS,-,False,False,False
TC-007,督导端,P1,验证督导端“完成判卷”按钮不影响学情数据,PASS,-,False,False,False
TC-008,督导端,P1,督导端：督导进入智能课堂，查看学生周中刷题切片,PASS,-,False,False,False
TC-009,跨模块联动,P2,从错题本跳转回原题目所属模块,PASS,-,False,False,False
TC-010,跨模块联动,P1,验证从首页工单台进入定位学系统，任务状态与学习数据是否同步,PASS,-,False,False,False
TC-011,跨模块联动,P1,验证从首页工单台进入定位学时，任务状态与入口同步,PASS,-,False,False,False
TC-012,跨模块联动,P1,验证从首页工单台进入定位学时，任务状态与学习数据是否同步,PASS,-,False,False,False
TC-013,学习报告页,P1,提交全部周末课程后，生成并查看学习报告,PASS,-,False,False,False
TC-014,学习报告页,P2,在当前周补做期内，对学习报告执行“重新学习”操作,PASS,-,False,False,False
TC-015,学习报告页,P2,验证“重新学习”操作重置后的数据状态,PASS,-,False,False,False
TC-016,学习报告页,P2,验证学习报告“分享”功能的只读权限,PASS,-,False,False,False
TC-017,学习报告页,P1,从学习报告页点击“返回首页”,PASS,-,False,False,False
TC-018,学习报告页,P2,对历史周（非补做期）的学习报告点击“重新学习”,PASS,-,False,False,False
TC-019,学习报告页,P2,验证学习报告页答题照片区上限（最多20张）,PASS,-,False,False,False
TC-020,全局状态与展示,P2,验证系统在无任何学习数据（如新周）时，相关统计区域（如薄弱点列表、学习报表）的兜底展示,PASS,-,False,False,False
TC-021,全局控制与权限,P1,未付费用户尝试使用定位学完整功能,PASS,-,False,False,False
TC-022,全局控制与权限,P2,边界测试：在补做期最后时刻（如周日23:59）进行补做操作，并在过期后（周日24:01）尝试操作,PASS,-,True,False,False
TC-023,新增数据模板（学习报表）,P2,验证学习报表模板切换（标准化章名 vs 定位学）及模块统计映射,PASS,-,False,False,False
TC-024,全局入口与初始化,P1,用户短时间内频繁切换教材/年级，验证系统响应与数据加载性能,PASS,-,False,False,False
TC-025,全局入口与初始化,P1,已设置默认教材的用户再次进入系统,PASS,-,False,False,False
TC-026,全局入口与初始化,P1,新用户首次进入定位学系统，选择教材/年级并进入当前周,PASS,-,False,False,False
TC-027,全局入口与初始化,P1,用户在系统内切换教材/年级,PASS,-,False,False,False
