candidate_index,case_id,description,test_module,model_priority_current,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,bucket,has_coverage_value,high_signal,covered_rule_ids
1,TC-002,后续进入首页：自动加载上次使用的教材版本和年级，无需再次选择,首页工作台,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""首页工作台|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 28, ""selected_case_ids"": [""TC-059""], ""selected_count_in_bucket"": 1, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [""RULE-098""], ""unique_coverage_hits"": [""RULE-065"", ""RULE-086"", ""RULE-096"", ""RULE-098"", ""RULE-099"", ""RULE-100"", ""RULE-109"", ""RULE-113""], ""reuse_risk_hit"": false}",True,True,True,False,首页工作台|happy,True,False,"[""RULE-065"", ""RULE-086"", ""RULE-096"", ""RULE-098"", ""RULE-099"", ""RULE-100"", ""RULE-109"", ""RULE-113""]"
2,TC-003,付费校验：未付费用户点击任意学习入口（任务、课程、错题）弹出购买提示,首页工作台,P2,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""首页工作台|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": 28, ""selected_case_ids"": [""TC-059""], ""selected_count_in_bucket"": 1, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": true, ""missing_rule_hits"": [], ""core_rule_hits"": [""RULE-098""], ""unique_coverage_hits"": [""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-035"", ""RULE-058"", ""RULE-065"", ""RULE-083"", ""RULE-085"", ""RULE-086"", ""RULE-088"", ""RULE-089"", ""RULE-090"", ""RULE-091"", ""RULE-092"", ""RULE-093"", ""RULE-094"", ""RULE-098"", ""RULE-107"", ""RULE-113"", ""RULE-118""], ""reuse_risk_hit"": false}",True,True,True,True,首页工作台|happy,True,False,"[""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-035"", ""RULE-058"", ""RULE-065"", ""RULE-083"", ""RULE-085"", ""RULE-086"", ""RULE-088"", ""RULE-089"", ""RULE-090"", ""RULE-091"", ""RULE-092"", ""RULE-093"", ""RULE-094"", ""RULE-098"", ""RULE-107"", ""RULE-113"", ""RULE-118""]"
3,TC-004,付费校验：已付费用户点击学习入口正常跳转至对应页面,首页工作台,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""首页工作台|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [""TC-059""], ""selected_count_in_bucket"": 1, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": true, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-065"", ""RULE-085"", ""RULE-086"", ""RULE-092"", ""RULE-107"", ""RULE-118""], ""reuse_risk_hit"": false}",True,True,True,True,首页工作台|happy,False,False,"[""RULE-065"", ""RULE-085"", ""RULE-086"", ""RULE-092"", ""RULE-107"", ""RULE-118""]"
4,TC-005,教学周切换：点击顶部左右箭头切换前/后周，页面数据正确加载且独立,首页工作台,P2,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""首页工作台|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": 28, ""selected_case_ids"": [""TC-059""], ""selected_count_in_bucket"": 1, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": true, ""missing_rule_hits"": [], ""core_rule_hits"": [""RULE-098""], ""unique_coverage_hits"": [""RULE-086"", ""RULE-098"", ""RULE-101"", ""RULE-104"", ""RULE-107"", ""RULE-109"", ""RULE-111"", ""RULE-113"", ""RULE-118""], ""reuse_risk_hit"": false}",True,True,True,True,首页工作台|happy,True,False,"[""RULE-086"", ""RULE-098"", ""RULE-101"", ""RULE-104"", ""RULE-107"", ""RULE-109"", ""RULE-111"", ""RULE-113"", ""RULE-118""]"
6,TC-007,连续学习天数计算：当天完成至少一个任务后连续天数+1，无完成则次日清零,首页工作台,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""首页工作台|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [""TC-059""], ""selected_count_in_bucket"": 1, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": true, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-092"", ""RULE-115""], ""reuse_risk_hit"": false}",True,True,True,True,首页工作台|happy,False,False,"[""RULE-092"", ""RULE-115""]"
10,TC-011,周末任务首次生成：用户第一次查看周末界面时，根据本周错题本自动生成周末提升任务,周末提升,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""周末提升|state"", ""priority"": ""P1"", ""focus_score"": 1, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-057"", ""RULE-087"", ""RULE-089"", ""RULE-107"", ""RULE-118""], ""reuse_risk_hit"": false}",True,True,True,False,周末提升|state,False,False,"[""RULE-057"", ""RULE-087"", ""RULE-089"", ""RULE-107"", ""RULE-118""]"
11,TC-012,薄弱点定位页AI分析完成后，知识点列表按掌握度从低到高排序，展示名称、关联、错题数、掌握度,薄弱点定位页,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""薄弱点定位页|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-004"", ""RULE-057"", ""RULE-058"", ""RULE-113"", ""RULE-118""], ""reuse_risk_hit"": false}",True,True,True,False,薄弱点定位页|happy,False,False,"[""RULE-004"", ""RULE-057"", ""RULE-058"", ""RULE-113"", ""RULE-118""]"
13,TC-014,薄弱点定位页增量更新：补做周中练习后手动刷新，新增薄弱点增量追加不覆盖原有数据，步骤状态保留,薄弱点定位页,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""薄弱点定位页|state"", ""priority"": ""P1"", ""focus_score"": 1, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-057"", ""RULE-087"", ""RULE-089"", ""RULE-092"", ""RULE-107"", ""RULE-113"", ""RULE-118""], ""reuse_risk_hit"": false}",True,True,True,False,薄弱点定位页|state,False,False,"[""RULE-057"", ""RULE-087"", ""RULE-089"", ""RULE-092"", ""RULE-107"", ""RULE-113"", ""RULE-118""]"
14,TC-015,课程推荐页无有效薄弱点数据时展示兜底文案，“立即开始学习”按钮置灰,课程推荐页,P2,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""课程推荐页|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-057"", ""RULE-113""], ""reuse_risk_hit"": false}",True,True,True,False,课程推荐页|happy,False,False,"[""RULE-057"", ""RULE-113""]"
15,TC-016,课程推荐页点击“立即开始学习全套课程”按钮，按推荐顺序跳转至在线学习页加载第一门课程,课程推荐页,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""课程推荐页|state"", ""priority"": ""P1"", ""focus_score"": 1, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-057"", ""RULE-087"", ""RULE-099"", ""RULE-109"", ""RULE-118""], ""reuse_risk_hit"": false}",True,True,True,False,课程推荐页|state,False,False,"[""RULE-057"", ""RULE-087"", ""RULE-099"", ""RULE-109"", ""RULE-118""]"
