candidate_index,case_id,description,test_module,model_priority_current,dropped_stage,dropped_reason,bucket,has_coverage_value,high_signal,covered_rule_ids
3,TC-003,验证教学周自动定位、切换及不同状态下的可操作性,全局控制-教学周管理,P1,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,全局控制-教学周管理|state,True,True,"[""RULE-014""]"
10,TC-010,验证随堂测评（打印-手写-拍照上传）全流程及错题归集,周末学习与测评,P1,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,周末学习与测评|exception,True,True,"[""RULE-028"", ""RULE-030"", ""RULE-040"", ""RULE-049""]"
11,TC-011,验证学习报告页生成、分享与重新学习功能,学习报告页,P1,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,学习报告页|state,True,True,"[""RULE-028"", ""RULE-032"", ""RULE-035"", ""RULE-049""]"
12,TC-012,验证周一习题本在任务完成后的自动生成与三态（无/全对/有错题）显示,学习数据与统计,P1,review_llm,drop_not_selected_by_review_llm,学习数据与统计|state,False,False,"[""RULE-019"", ""RULE-023""]"
13,TC-013,验证切换教材/年级后，学习数据的独立性（新数据主键生效）,全局控制-数据主键,P1,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,全局控制-数据主键|happy,True,True,"[""RULE-007"", ""RULE-011""]"
16,TC-016,验证网络异常时，系统通用提示与本地数据保留能力,异常与边界,P2,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,异常与边界|exception,True,True,"[""RULE-058"", ""RULE-059""]"
17,TC-017,验证学习报告页的答题照片区数量上限（最多20张）,学习报告页,P2,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,学习报告页|exception,True,True,"[""RULE-032""]"
19,TC-020,验证当无薄弱点或无学习数据时，相关按钮置灰及兜底文案显示,异常与边界,P2,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,异常与边界|state,True,True,"[""RULE-049"", ""RULE-058"", ""RULE-060""]"
22,TC-023,验证周一习题本的数据作为下游输入，能正确统计入本周总完成题数与正确率,周一习题本下游,P2,review_llm,drop_not_selected_by_review_llm,周一习题本下游|happy,False,False,"[""RULE-036"", ""RULE-048""]"
23,TC-024,验证在历史周（仅可查看状态）尝试操作时，系统给出适当提示或阻止,全局控制-教学周管理,P2,review_llm,drop_not_selected_by_review_llm,全局控制-教学周管理|state,False,False,"[""RULE-049""]"
