candidate_index,case_id,description,test_module,model_priority_current,selected_by_review_llm,selected_by_review_must_keep,selected_by_review_constraints,selected_by_review_gate,retained_final,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,review_constraint_reason,bucket,rule_keys,adds_rule,adds_bucket,high_signal,has_coverage_value,retained_reason,rerank_rank,focus_score,covered_rule_ids,missing_rule_hits,core_rule_hits,coverage_gain_score,signature
1,TC-001,验证新用户首次进入系统时，必须选择教材/年级，选择后成为默认项并自动加载数据,全局控制与权限,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",,,,,dropped_by_target_max,全局控制与权限|happy,[],False,False,False,False,,0,0,"[""RULE-007"", ""RULE-009"", ""RULE-011""]",[],[],20,全局控制与权限|验证新用户首次进入系统时，必须选择教材/年级，选择后成为默认项并自动加载数据|1. 首次进入时，系统强制或明确引导用户选择教材/年级。2. 选择后，系统成功加载该教材/年级下的当前周学习数据。3. 该选择被记录为用户的默认教材/年级。|选择一套教材和年级
2,TC-002,验证用户切换教材/年级后，学习数据独立计数且互不影响,全局控制与权限,P1,True,False,False,True,True,retained,retained,,,,,,,,,,全局控制与权限|state,[],False,False,True,True,retained_due_to_coverage_value,31,1,"[""RULE-007"", ""RULE-009"", ""RULE-011""]",[],[],20,全局控制与权限|验证用户切换教材/年级后，学习数据独立计数且互不影响|1. 切换后，系统立即加载新教材/年级下的数据。2. 新教材下的学习进度、错题本、统计与原教材数据完全独立。3. 切换回原教材后，原教材的学习数据和进度保持不变。|切换教材/年级操作
3,TC-003,验证系统以服务器时间自动定位当前教学周，并允许用户切换前后周,全局控制与权限,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",,,,,dropped_by_target_max,全局控制与权限|happy,[],False,False,False,False,,0,0,"[""RULE-007"", ""RULE-009"", ""RULE-011""]",[],[],20,全局控制与权限|验证系统以服务器时间自动定位当前教学周，并允许用户切换前后周|1. 系统初始展示的教学周与服务器时间对应的教学周一致。2. 可以成功切换到下一周和上一周，并加载对应周的数据。3. 切换操作流畅，数据加载正确。|切换教学周操作
4,TC-004,验证补做功能的范围限制：仅限当前周与上周补做期内可操作，更早的周仅可查看,全局控制与权限,P1,True,False,False,True,True,retained,retained,,,,,,,,,,全局控制与权限|state,[],False,False,True,True,retained_due_to_coverage_value,32,1,"[""RULE-009"", ""RULE-049""]",[],[],20,全局控制与权限|验证补做功能的范围限制：仅限当前周与上周补做期内可操作，更早的周仅可查看|1. 当前周(n)和上周(n-1)的未完成任务显示为可操作状态（如“开始学习”、“继续做题”）。2. 更早周(n-2)的任务仅显示为“查看”或类似只读状态，所有提交、判分等操作按钮不可点击。|查看不同历史周的任务状态
5,TC-005,验证过期规则：周日24:00（服务器时间）后，当周任务仅可查看，不可进行任何学习操作,全局控制与权限,P2,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",,,,,dropped_by_target_max,全局控制与权限|happy,[],False,False,False,False,,0,0,"[""RULE-009"", ""RULE-014"", ""RULE-049""]",[],[],20,全局控制与权限|验证过期规则：周日24:00（服务器时间）后，当周任务仅可查看，不可进行任何学习操作|1. 可以进入该周的任务列表或报告页面。2. 所有学习、答题、提交相关的按钮置灰或不可点击。3. 页面有明确提示表明该周已过期，仅支持查看。|在过期周次进行操作尝试
6,TC-006,验证周中任务提交后，AI即时判分并自动将错题归档至“我的错题”,任务与判分,P1,True,False,False,True,True,retained,retained,,,,,,,,,,任务与判分|exception,[],False,True,True,True,retained_default,13,2,"[""RULE-015""]",[],[],-8,任务与判分|验证周中任务提交后，ai即时判分并自动将错题归档至“我的错题”|1. 提交后，系统立即（或短时间内）显示判分结果（对/错）。2. 答错的题目被自动添加到“我的错题”中，并带有正确的日期标签。3. 错题记录包含题目内容、用户答案、正确答案等信息。|提交包含错误的答案
7,TC-007,验证“完成判卷”按钮（督导端）仅作为流程标记，不触发二次判分或改变题目学情状态,任务与判分/督导端,P1,True,False,False,True,True,retained,retained,,,,,,,,,,任务与判分/督导端|state,[],False,True,True,True,retained_default,16,1,"[""RULE-015"", ""RULE-042"", ""RULE-044"", ""RULE-045"", ""RULE-049""]",[],[],20,任务与判分/督导端|验证“完成判卷”按钮（督导端）仅作为流程标记，不触发二次判分或改变题目学情状态|1. 点击后，该任务从督导待处理列表移除。2. 该题目的判分结果（对/错）没有发生任何改变。3. 该题目在学生端的学情状态（如：是否计入错题、掌握度）没有因督导操作而改变。|督导点击“完成判卷”
8,TC-008,验证连续学习天数计算规则：最近一连串完成学习则天数累加，一旦中断则清零,学习数据与统计,P2,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""学习数据与统计|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",,,,,dropped_by_target_max,学习数据与统计|happy,[],False,False,False,False,,0,0,"[""RULE-019"", ""RULE-020""]",[],[],20,学习数据与统计|验证连续学习天数计算规则：最近一连串完成学习则天数累加，一旦中断则清零|1. 第4天完成后，连续学习天数变为4。2. 第5天中断后，天数显示仍为4（或截至前一日）。3. 第6天完成后，连续学习天数重置为1。|完成、中断、再完成学习任务
9,TC-009,验证知识点掌握度根据本周答题情况动态计算，并正确分为“薄弱/一般/熟练”三档,学习数据与统计,P1,True,False,False,True,True,retained,retained,,,,,,,,,,学习数据与统计|exception,[],False,True,True,True,retained_default,7,3,"[""RULE-019"", ""RULE-022""]",[],[],20,学习数据与统计|验证知识点掌握度根据本周答题情况动态计算，并正确分为“薄弱/一般/熟练”三档|1. 页面展示本周各知识点的掌握度（薄弱/一般/熟练）。2. 新增错误后，对应知识点的掌握度等级应下降（如从“一般”变为“薄弱”）。3. 掌握度计算仅基于本周数据，历史周数据不影响当前周展示。|新增答题错误
10,TC-010,验证周一习题本在当日任务完成后自动生成，并具备“无/全对/有错题”三种状态,学习数据与统计,P2,True,False,False,True,True,retained,retained,,,,,,,,,,学习数据与统计|state,[],False,False,True,True,retained_due_to_coverage_value,34,1,"[""RULE-019"", ""RULE-023""]",[],[],20,学习数据与统计|验证周一习题本在当日任务完成后自动生成，并具备“无/全对/有错题”三种状态|1. 周一任务完成后，系统自动生成或解锁“周一习题本”。2. 习题本的封面或标题处能明确区分三种状态：例如“暂无错题”（全对）、“发现x个薄弱点”（有错题）、或“未完成学习”（无）。3. 状态与实际的答题结果一致。|周一完成学习任务
11,TC-011,验证薄弱点列表能实时更新，并按规则（知识点名、错题数、掌握度）排序,AI定位与推荐,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""ai定位与推荐|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",,,,,dropped_by_target_max,ai定位与推荐|happy,[],False,False,False,False,,0,0,"[""RULE-004"", ""RULE-024"", ""RULE-026"", ""RULE-046""]",[],[],-8,ai定位与推荐|验证薄弱点列表能实时更新，并按规则（知识点名、错题数、掌握度）排序|1. 知识点a的关联错题数增加。2. 薄弱点列表的顺序可能因错题数增加而重新排列（例如，错题数多的靠前）。3. 列表更新是实时的或接近实时。|新增同一知识点的错题
12,TC-013,验证周末在线学习支持断点续播，且进度同步到课程推荐页与首页,周末学习与测评,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:fallback_unspecified,,fallback_unspecified,deterministic_backfill,"{""bucket"": ""周末学习与测评|state"", ""priority"": ""P1"", ""focus_score"": 1, ""has_coverage_value"": true, ""high_signal"": true, ""reuse_risk_hit"": false}",,,,,dropped_by_target_max,周末学习与测评|state,[],False,False,False,False,,0,1,"[""RULE-028""]",[],[],-8,周末学习与测评|验证周末在线学习支持断点续播，且进度同步到课程推荐页与首页|1. 课程推荐页面上，该课程显示“继续学习”及进度百分比（如50%）。2. 系统首页的学习状态卡片可能同步显示此进度。3. 再次进入播放时，视频能从上次中断的位置附近开始播放。|中断并恢复视频学习
13,TC-014,验证随堂测评流程：打印题目->手写作答->拍照上传->OCR+AI判分，错题归入“定位学-数学”,周末学习与测评,P1,True,False,False,True,True,retained,retained,,,,,,,,,,周末学习与测评|exception,[],False,True,True,True,retained_default,15,2,"[""RULE-028"", ""RULE-030""]",[],[],-8,周末学习与测评|验证随堂测评流程：打印题目->手写作答->拍照上传->ocr+ai判分，错题归入“定位学-数学”|1. 系统成功接收照片并进行ocr识别。2. 显示ai判分结果。3. 答错的题目被收录到错题本中，且分类明确为“定位学-数学”。|拍照上传包含错误的手写答案
