case_id,module,priority,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,首页-付费校验,P1,已付费用户点击首页所有学习入口（任务、课程、错题），正常进入对应功能页，无弹窗,PASS,-,False,False,False
TC-002,首页-付费校验,P2,进入首页时校验付费状态，未付费用户点击任何学习入口（任务、课程、错题）弹出付费提示,PASS,-,False,False,False
TC-003,首页-付费校验,P1,未付费用户通过直接URL访问功能页面（如错题本、周末提升）时，应被拦截并重定向至首页或弹出付费提示,PASS,-,False,False,False
TC-004,首页-付费校验,P1,未付费用户通过直接URL访问功能页面（如错题本、周末提升）时，应被拦截并重定向至首页或弹出付费提示,PASS,-,False,False,False
TC-005,首页-付费校验,P1,未付费用户通过直接调用后端API（绕过前端校验）访问学习数据时，后端应返回无权限错误，阻止数据泄露,PASS,-,False,False,False
TC-006,首页-教材年级切换,P1,用户切换教材版本+年级后，页面立即重新加载当前教学周下新组合的所有数据，数据完全独立,PASS,-,False,False,False
TC-007,首页-教材年级初始化,P1,首次使用定位学系统时，强制弹出教材版本与年级选择弹窗，选择后保存为默认,PASS,-,False,False,False
TC-008,周一习题本-生成与统计,P1,周一任务完成后，自动在首页生成'周一习题本'模块，显示总题数、正确数、错误数,PASS,-,False,False,False
TC-009,周一习题本-重新学习覆盖,P1,用户重新学习周一任务并再次提交后，周一习题本数据被覆盖更新,PASS,-,False,False,False
TC-010,周一习题本-全对边界,P1,周一任务全对时，周一习题本显示鼓励文案，不展示具体错题详情,PASS,-,False,False,False
TC-011,周末推荐学习-完成状态,P1,用户完成全部周末提升任务（视频学习+随堂测评）后，任务状态变为'已完成',PASS,-,False,False,False
TC-012,学习报告-返回首页状态同步,P1,学习报告页点击'返回首页'，首页周末提升任务标记为'已完成'，状态同步,PASS,-,False,False,False
TC-013,首页-历史补学数据同步,P1,补学历史周任务完成后，该任务状态更新为'已完成'，数据计入该历史周的统计中,PASS,-,False,False,False
TC-014,周一习题本-错题详情展示,P1,周一习题本默认展示首道错题的完整详情（题目、用户答案、正确答案、知识点归因、解析）,PASS,-,False,False,False
TC-015,随堂测评-知识点更新,P1,随堂测评完成后，关联知识点的掌握度实时更新,PASS,-,False,False,False
TC-016,周中练习-AI判分与状态更新,P1,周一任务提交后，AI即时判分，任务状态自动变为'已完成'，错题记录至本周错题本,PASS,-,False,False,False
TC-017,周中练习流程,P1,用户提交周中练习时网络连接中断，恢复后重试提交，任务状态应最终更新为已完成，错题被记录,PASS,-,False,False,False
TC-018,首页-教学周切换,P2,教学周自动切换时间点边界验证：在周一00:00:00精确时刻加载首页，系统应正确切换到新教学周,PASS,-,False,False,False
TC-019,随堂测评-拍照判分,P2,随堂测评支持线下打印、拍照上传，上传后触发OCR识别和AI判分，结果返回答案和解析,PASS,-,False,False,False
TC-020,周末推荐学习-任务生成,P1,用户首次进入周末界面时，系统根据本周错题本自动生成'周末提升'任务,PASS,-,False,False,False
TC-021,首页-教学周切换与历史补学,P1,用户可切换查看历史周数据，历史周中状态为'待完成'的任务可点击进入补学,PASS,-,False,False,False
TC-022,课程推荐-无数据兜底,P2,课程推荐页面中，当无有效薄弱点数据时，显示兜底文案且'立即开始学习'按钮置灰,PASS,-,False,False,False
TC-023,学习报告-生成与展示,P1,学习报告页面根据全量学习数据AI生成报告，包含答题照片、能力模型评分、学习建议等,PASS,-,False,False,False
TC-024,薄弱点定位-排序,P1,薄弱点定位页面AI分析完成后，按掌握度从低到高展示知识点列表,PASS,-,False,False,False
TC-025,首页-教学周定位,P1,系统根据服务器时间自动定位当前教学周，并加载该周的任务数据,PASS,-,False,False,False
TC-026,首页-知识点掌握度,P1,知识点掌握度根据本周答题情况计算，显示为'薄弱'、'一般'或'熟练',PASS,-,False,False,False
