candidate_index,case_id,description,test_module,model_priority_current,dropped_stage,dropped_reason,bucket,has_coverage_value,high_signal,covered_rule_ids
1,TC-001,验证核心教学闭环（采集-定位-推荐-反馈）的完整性：用户完成周中任务、生成薄弱点、完成周末学习、查看报告并返回首页,核心闭环,P1,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,核心闭环|state,True,True,"[""RULE-003"", ""RULE-004"", ""RULE-007"", ""RULE-008"", ""RULE-011"", ""RULE-022"", ""RULE-027"", ""RULE-032"", ""RULE-049""]"
3,TC-003,验证未付费用户访问定位学功能时权限受限,全局控制与权限,P1,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,全局控制与权限|state,True,True,"[""RULE-004"", ""RULE-009""]"
8,TC-008,验证在当前周（非过期状态）可正常进行补做操作,全局控制与权限,P1,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,全局控制与权限|state,True,True,"[""RULE-009"", ""RULE-016"", ""RULE-063""]"
9,TC-009,验证在上周补做期内可进行补做操作,全局控制与权限,P1,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,全局控制与权限|state,True,True,"[""RULE-009"", ""RULE-016"", ""RULE-063""]"
10,TC-010,验证切换至更早的历史周（超出补做期）仅可查看，不可操作,全局控制与权限,P2,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,全局控制与权限|state,True,True,"[""RULE-009"", ""RULE-049""]"
11,TC-011,验证教学周过期规则（周日24:00后仅可查看）,全局控制与权限,P1,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,全局控制与权限|state,True,True,"[""RULE-009"", ""RULE-014""]"
23,TC-023,验证学习报告页‘重新学习’操作在有效期内可用，在有效期外不可用,学习报告页,P2,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,学习报告页|happy,True,True,"[""RULE-032"", ""RULE-049""]"
24,TC-024,验证学习报告页‘返回首页’操作将当前周周末任务标记为已完成,学习报告页,P1,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,学习报告页|state,True,True,"[""RULE-016"", ""RULE-032"", ""RULE-049""]"
27,TC-027,验证网络异常时，系统有通用提示，已加载数据保留，并支持重试,异常与边界,P2,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,异常与边界|exception,True,True,"[""RULE-049"", ""RULE-058"", ""RULE-059""]"
41,TC-061,验证学习报表中‘互动’数据在不同模板下的正确统计（标准化题型完成率 vs 定位学题型演练完成率）,新增数据模板（学习报表）,P2,review_llm,drop_not_selected_by_review_llm,新增数据模板（学习报表）|happy,False,False,"[""RULE-050"", ""RULE-056""]"
