candidate_index,case_id,description,test_module,model_priority_current,dropped_stage,dropped_reason,bucket,has_coverage_value,high_signal,covered_rule_ids
5,TC-005,历史周补做范围验证 - 当前周与上周补做期内可操作,全局控制与权限,P1,post_review_dedup_or_reorder,drop_post_review_dedup_or_reorder,全局控制与权限|happy,True,True,"[""RULE-009"", ""RULE-013""]"
9,TC-009,“完成判卷”按钮仅督导流程标记，不改学情,任务与判分,P1,review_llm,drop_not_selected_by_review_llm,任务与判分|happy,True,False,"[""RULE-015"", ""RULE-017"", ""RULE-042"", ""RULE-044"", ""RULE-049""]"
19,TC-019,周末学习断点续播,周末学习与测评,P1,review_llm,drop_not_selected_by_review_llm,周末学习与测评|happy,False,False,"[""RULE-028""]"
24,TC-024,学习报告页 - 重新学习（补做期内可重置）,学习报告页,P1,review_llm,drop_not_selected_by_review_llm,学习报告页|happy,False,False,"[""RULE-032""]"
25,TC-025,学习报告页 - 返回首页标记周末任务完成,学习报告页,P1,review_llm,drop_not_selected_by_review_llm,学习报告页|state,False,False,"[""RULE-032""]"
26,TC-026,督导端智能课堂 - 周六/周日进入周中刷题切片，申请拍照判题正常流程,督导端智能课堂,P1,review_llm,drop_not_selected_by_review_llm,督导端智能课堂|state,False,False,"[""RULE-030"", ""RULE-042"", ""RULE-046"", ""RULE-047"", ""RULE-048"", ""RULE-049""]"
27,TC-027,督导端智能课堂 - 周中刷题切片无题目时界面兜底,督导端智能课堂,P2,review_llm,drop_not_selected_by_review_llm,督导端智能课堂|happy,False,False,"[""RULE-042"", ""RULE-046"", ""RULE-048"", ""RULE-049""]"
28,TC-028,督导端单题错题集 - 拍照判题、预览修改、完成判卷入错题本，不触发错题推荐,督导端,P1,review_llm,drop_not_selected_by_review_llm,督导端|happy,False,False,"[""RULE-042"", ""RULE-045"", ""RULE-049""]"
29,TC-029,督导端单题错题集 - 拍照判题后不修改直接完成判卷,督导端,P2,review_llm,drop_not_selected_by_review_llm,督导端|happy,False,False,"[""RULE-042"", ""RULE-045""]"
30,TC-030,新增数据模板 - 课程名称切换标准化章名与定位学模板,学习报表,P2,review_llm,drop_not_selected_by_review_llm,学习报表|happy,False,False,"[""RULE-050""]"
31,TC-031,新增数据模板 - 定位学模板下模块/学习量数据正确性,学习报表,P2,review_llm,drop_not_selected_by_review_llm,学习报表|state,False,False,"[""RULE-050"", ""RULE-052"", ""RULE-056""]"
