candidate_index,case_id,description,test_module,model_priority_current,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,bucket,has_coverage_value,high_signal,covered_rule_ids
2,TC-002,教材/年级首次选择后自动保存为默认值，后续进入系统时自动加载,全局控制与权限,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [""TC-056""], ""selected_count_in_bucket"": 1, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-007"", ""RULE-009"", ""RULE-011""], ""reuse_risk_hit"": false}",True,True,True,False,全局控制与权限|happy,False,False,"[""RULE-007"", ""RULE-009"", ""RULE-011""]"
3,TC-003,教材/年级支持随时切换，且每个（教材，年级）组合的学习数据独立计数,全局控制与权限,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [""TC-056""], ""selected_count_in_bucket"": 1, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-007"", ""RULE-009"", ""RULE-011""], ""reuse_risk_hit"": false}",True,True,True,False,全局控制与权限|happy,False,False,"[""RULE-007"", ""RULE-009"", ""RULE-011""]"
4,TC-004,教学周自动定位当前周，支持前后切换；历史周在当前周和上周补做期内可补做，更早仅查看,全局控制与权限,P2,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""全局控制与权限|state"", ""priority"": ""P2"", ""focus_score"": 1, ""coverage_gain_score"": 20, ""selected_case_ids"": [""TC-055"", ""TC-057"", ""TC-058""], ""selected_count_in_bucket"": 4, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": true, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-009"", ""RULE-012"", ""RULE-049""], ""reuse_risk_hit"": false}",True,True,True,True,全局控制与权限|state,False,False,"[""RULE-009"", ""RULE-012"", ""RULE-049""]"
5,TC-005,过期规则：周日24:00后，当前周变为仅可查看，不可操作,全局控制与权限,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [""TC-056""], ""selected_count_in_bucket"": 1, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-009"", ""RULE-014"", ""RULE-049""], ""reuse_risk_hit"": false}",True,True,True,False,全局控制与权限|happy,False,False,"[""RULE-009"", ""RULE-014"", ""RULE-049""]"
7,TC-007,周末课程包由教研按本周错题本生成，周六与周日内容相同,任务与判分,P2,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""任务与判分|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-015"", ""RULE-018"", ""RULE-047""], ""reuse_risk_hit"": false}",True,True,True,False,任务与判分|happy,False,False,"[""RULE-015"", ""RULE-018"", ""RULE-047""]"
8,TC-008,连续学习天数：完成一个学习日（周中或周末任务完成）后加1，中断清零,学习数据与统计,P2,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""学习数据与统计|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-019"", ""RULE-020""], ""reuse_risk_hit"": false}",True,True,True,False,学习数据与统计|happy,False,False,"[""RULE-019"", ""RULE-020""]"
11,TC-011,薄弱点列表：基于错题构建，按知识点名称、关联、错题数、掌握度排序，实时更新；历史周仅在补做时更新,AI定位与推荐,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""ai定位与推荐|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 0, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-004"", ""RULE-024"", ""RULE-026""], ""reuse_risk_hit"": false}",True,True,True,False,ai定位与推荐|happy,False,False,"[""RULE-004"", ""RULE-024"", ""RULE-026""]"
13,TC-013,随堂测评流程：打印题→手写→拍照上传→OCR+AI判分→错题归‘定位学-数学’,周末学习与测评,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""周末学习与测评|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-028"", ""RULE-030""], ""reuse_risk_hit"": false}",True,True,True,False,周末学习与测评|happy,False,False,"[""RULE-028"", ""RULE-030""]"
14,TC-014,随堂测评支持上/下一课操作，提交全部后生成报告,周末学习与测评,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""周末学习与测评|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 13, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [""RULE-031""], ""unique_coverage_hits"": [""RULE-028"", ""RULE-031"", ""RULE-032""], ""reuse_risk_hit"": false}",True,True,True,False,周末学习与测评|happy,True,False,"[""RULE-028"", ""RULE-031"", ""RULE-032""]"
15,TC-015,断点续播：周末学习过程中退出，再次进入时恢复上次进度,周末学习与测评,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""周末学习与测评|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-028""], ""reuse_risk_hit"": false}",True,True,True,False,周末学习与测评|happy,False,False,"[""RULE-028""]"
16,TC-016,学习报告页自动生成，补做后全量覆盖更新；答题照片区最多显示20张,学习报告页,P1,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""学习报告页|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-032"", ""RULE-033""], ""reuse_risk_hit"": false}",True,True,True,False,学习报告页|happy,False,False,"[""RULE-032"", ""RULE-033""]"
