candidate_index,case_id,description,test_module,model_priority_current,selected_by_review_llm,selected_by_review_must_keep,selected_by_review_constraints,selected_by_review_gate,retained_final,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,review_constraint_reason,bucket,rule_keys,adds_rule,adds_bucket,high_signal,has_coverage_value,retained_reason,rerank_rank,focus_score,covered_rule_ids,missing_rule_hits,core_rule_hits,coverage_gain_score,signature
1,TC-001,验证新用户首次进入定位学系统，完成教材/年级选择，并成功加载当前周数据,系统初始化与权限,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,系统初始化与权限|happy,[],False,False,True,True,retained_due_to_coverage_value,19,0,"[""RULE-007"", ""RULE-011""]",[],[],20,系统初始化与权限|验证新用户首次进入定位学系统，完成教材/年级选择，并成功加载当前周数据|1. 系统记录用户选择的教材/年级为默认项。2. 自动定位到服务器时间对应的教学周。3. 成功加载该周（当前周）的待完成任务数据。|选择教材：人教版，年级：三年级
2,TC-002,验证已付费与未付费用户的功能权限差异,系统初始化与权限,P2,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,系统初始化与权限|state,[],False,True,True,True,retained_default,10,1,"[""RULE-004"", ""RULE-027"", ""RULE-048"", ""RULE-049""]",[],[],20,系统初始化与权限|验证已付费与未付费用户的功能权限差异|1. 用户a可以正常使用所有功能（刷题、判分、查看推荐、生成报告等）。2. 用户b访问核心功能（如开始做题、查看详细报告）时受到限制（如按钮置灰、弹窗提示需付费）。|不同付费状态的用户访问系统
3,TC-003,验证用户切换教材/年级后，数据独立计数与加载,全局控制与数据,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,全局控制与数据|happy,[],False,False,True,True,retained_due_to_coverage_value,18,0,"[""RULE-007"", ""RULE-011""]",[],[],20,全局控制与数据|验证用户切换教材/年级后，数据独立计数与加载|1. 系统成功切换至‘北师大版四年级’。2. 自动加载该教材/年级下，服务器当前周（第11周）的数据。3. ‘人教版三年级’下的学习数据（如连续学习天数、错题本）被独立保存，不受影响。|切换教材/年级为：北师大版，四年级
4,TC-004,验证教学周自动定位与手动切换功能,全局控制与数据,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""reason_from"": ""llm"", ""has_positive_evidence"": false, ""has_coverage_signal"": false, ""has_high_signal"": false, ""has_competition_signal"": false}",False,False,False,False,,全局控制与数据|state,[],False,False,False,False,,0,1,"[""RULE-049""]",[],[],-8,全局控制与数据|验证教学周自动定位与手动切换功能|1. 系统初始加载时，自动定位并展示‘第12周’（当前周）数据。2. 成功切换到‘第11周’，并加载该周数据。3. 切换到‘第13周’时，由于是未来周，应展示为‘待开始’或空状态，无历史数据。|切换至历史周（第11周）和未来周（第13周）
5,TC-005,验证周中任务提交与AI即时判分、错题归档流程,周中学习与判分,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,周中学习与判分|state,[],False,True,True,True,retained_default,9,1,"[""RULE-016"", ""RULE-048""]",[],[],20,周中学习与判分|验证周中任务提交与ai即时判分、错题归档流程|1. 提交后，系统立即进行ai判分。2. 判分完成后，错题被自动归档至‘我的错题’本，并按日期（当天）分类。3. 该任务状态从‘待完成’变为‘已完成’。4. 知识点掌握度根据本次答题情况实时更新。|完成一套周中习题并提交
6,TC-006,验证连续学习天数统计规则：连续完成则累加，中断则清零,学习数据与统计,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,学习数据与统计|happy,[],False,True,True,True,retained_default,14,0,"[""RULE-019""]",[],[],20,学习数据与统计|验证连续学习天数统计规则：连续完成则累加，中断则清零|1. 步骤2中，连续学习天数应显示为4（3+1）。2. 步骤4中，由于中间中断了一天，连续学习天数应从1开始重新计算，显示为1。|完成日任务、中断、再完成
7,TC-007,验证周一习题本自动生成与三态（无/全对/有错题）,学习数据与统计,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""reason_from"": ""llm"", ""has_positive_evidence"": false, ""has_coverage_signal"": false, ""has_high_signal"": false, ""has_competition_signal"": false}",False,False,False,False,,学习数据与统计|state,[],False,False,False,False,,0,1,"[""RULE-019"", ""RULE-023""]",[],[],20,学习数据与统计|验证周一习题本自动生成与三态（无/全对/有错题）|1. 系统基于上周学习数据自动生成本周一习题本。2. 根据上周答题情况，习题本应正确显示为‘无’、‘全对’或‘有错题’三种状态之一。例如，上周有错题则状态为‘有错题’。|周一查看习题本
8,TC-008,验证薄弱点列表的实时更新与排序规则,AI定位与推荐,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,ai定位与推荐|state,[],False,True,True,True,retained_default,11,1,"[""RULE-004"", ""RULE-024"", ""RULE-026"", ""RULE-046"", ""RULE-048""]",[],[],-8,ai定位与推荐|验证薄弱点列表的实时更新与排序规则|1. 列表应包含所有薄弱知识点。2. 列表排序应考虑知识点名称、关联性、错题数、掌握度。3. 步骤4后，‘知识点a’的错题数应增加，其排序位置可能发生变化，列表为实时更新状态。|新增一个错题后查看薄弱点列表
9,TC-009,验证周末课程推荐内容的生成与一致性（周六/日相同）,周末学习与测评,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""reason_from"": ""llm"", ""has_positive_evidence"": false, ""has_coverage_signal"": false, ""has_high_signal"": false, ""has_competition_signal"": false}",False,False,False,False,,周末学习与测评|happy,[],False,False,False,False,,0,0,"[""RULE-027"", ""RULE-028"", ""RULE-047""]",[],[],20,周末学习与测评|验证周末课程推荐内容的生成与一致性（周六/日相同）|1. 周六展示的课程推荐是基于本周全量答题数据生成的。2. 周日进入时，展示的课程包内容与周六完全相同。|周六和周日查看周末课程推荐
10,TC-010,验证周末在线学习的断点续播与进度同步,周末学习与测评,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""reason_from"": ""llm"", ""has_positive_evidence"": false, ""has_coverage_signal"": false, ""has_high_signal"": false, ""has_competition_signal"": false}",False,False,False,False,,周末学习与测评|happy,[],False,False,False,False,,0,0,"[""RULE-004"", ""RULE-028""]",[],[],-8,周末学习与测评|验证周末在线学习的断点续播与进度同步|1. 步骤3，课程推荐页或首页应显示该课程的学习进度（如50%）。2. 步骤4，视频应从上次中断的位置（约50%）开始继续播放，实现断点续播。|中断学习后重新进入
