candidate_index,case_id,module,priority,scene,bucket,description,high_signal,has_coverage_value
1,TC-001,全局控制与权限,P1,happy,全局控制与权限|risk,未付费用户尝试访问定位学完整功能，验证权限限制,False,False
7,TC-007,任务与判分,P1,exception,任务与判分|exception,周中任务提交后AI即时判分并归档错题，任务状态变为已完成,True,True
11,TC-011,学习数据与统计,P1,state,学习数据与统计|state,周一习题本自动生成并体现三态：无/全对/有错题,False,False
12,TC-012,AI定位与推荐,P1,happy,ai定位与推荐|happy,AI薄弱点列表实时更新，历史周仅补做时更新,False,False
13,TC-013,AI定位与推荐,P1,happy,ai定位与推荐|happy,周末课程推荐基于本周全量答题数据生成，支持增量更新与计划追加,False,False
14,TC-014,周末学习与测评,P1,exception,周末学习与测评|exception,周末随堂测评完整流程：打印题→手写→拍照上传→OCR+AI判分→错题归定位学-数学,True,False
15,TC-015,周末学习与测评,P1,happy,周末学习与测评|happy,断点续播：退出周末学习后再次进入，进度同步至课程推荐页和首页,False,False
16,TC-016,学习报告页,P1,happy,学习报告页|happy,提交全部随堂测评后自动生成学习报告，补做后全量覆盖更新,False,False
17,TC-017,学习报告页,P1,happy,学习报告页|happy,学习报告分享至微信好友/朋友圈，家长端仅读,False,False
18,TC-018,学习报告页,P1,state,学习报告页|state,重新学习功能：当前周/上周补做期内可重置周末任务,False,False
19,TC-019,学习报告页,P1,state,学习报告页|state,返回首页操作将当前周周末任务标记为已完成,False,False
20,TC-020,错题本与去重,P1,happy,错题本与去重|happy,错题本跨模块跳转：从学习报告或首页跳转至错题本具体错题,False,False
21,TC-021,错题本与去重,P1,happy,错题本与去重|happy,错题本去重规则与首页一致：同一错题不重复记录,False,False
22,TC-022,督导端,P1,state,督导端|state,督导端申请拍照判题后，完成判卷按钮仅流程标记，不改学情/状态,False,False
23,TC-023,督导端,P1,exception,督导端|exception,督导端单题错题集：拍照判题后预览修改，点击完成判卷入错题本，不进行错题推荐,True,False
24,TC-024,督导端,P1,happy,督导端|happy,督导端智能课堂：进入小学数学定位学第N周周六/周日切片，显示周中刷题按钮和申请拍照判题按钮,False,False
25,TC-025,异常与边界,P2,exception,异常与边界|exception,网络异常时通用提示，保留已加载数据，支持重试,True,False
26,TC-026,数据一致性,P1,exception,数据一致性|exception,数据主键三维唯一性：同一用户、同一教材/年级、同一教学周重复提交周中任务，不产生重复数据记录,True,False
27,TC-027,权限控制,P1,happy,权限控制|risk,未付费用户访问权限限制：尝试访问周末学习、学习报告、错题本等核心功能时被阻止,False,False
28,TC-028,数据隔离,P1,happy,数据隔离|happy,教材/年级切换后，之前周的数据独立保存且不受影响,False,False
29,TC-029,教学周切换,P1,state,教学周切换|state,教学周向前/向后切换时，正确加载对应周的任务状态和数据,False,False
30,TC-030,过期规则,P2,happy,过期规则|boundary,过期规则边界测试：周日23:59可操作，周一00:00后当前周仅可查看不可操作,True,False
31,TC-031,状态迁移,P1,state,状态迁移|state,任务状态机验证：提交周中任务后状态变为已完成，不可逆；督导端‘完成判卷’不改变任务状态,False,True
32,TC-032,周末课程包,P2,happy,周末课程包|happy,周末课程包周六与周日内容完全一致（课程列表、题目、顺序）,False,False
