case_id,module,priority,model_priority,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-003,周末提升计划 - 第四步“学习完成啦”,P2,P2,P2,P2,optional,uncertain_requirement_guard,low,,验证打印功能入口存在，点击后触发打印流程（具体打印内容和门店展示待确认）,PENDING,contains_pending_logic,False,True,False
TC-007,周末提升计划 - 第四步“学习完成啦”,P2,P2,P2,P2,optional,uncertain_requirement_guard,low,,验证如果学习任务未到周六/周日，用户是否能够提前完成并进入第四步（待确认）,PENDING,contains_pending_logic,False,True,False
TC-008,周末提升计划 - 第四步“学习完成啦”,P2,P2,P2,P2,optional,uncertain_requirement_guard,low,,[待确认] 验证完成学习的触发条件：若规则允许仅完成最后一个课程切片的出门测即可完成学习，则在前序切片出门测未完成的情况下，点击“完成学习”仍应成功跳转第四步,PENDING,contains_pending_logic,False,True,False
TC-023,周末提升计划 - 第四步“学习完成啦”,P2,P1,P2,P2,optional,uncertain_requirement_guard,low,,[待确认]验证未完成所有出门测时，“完成学习”按钮的可用性状态（灰显/不可点击/点击后提示）,PENDING,contains_pending_logic,False,True,False
TC-026,周末提升计划 - 第四步“学习完成啦”,P2,P2,P2,P2,optional,uncertain_requirement_guard,low,,验证当学习内容包含多个知识点切片，但不是所有切片都有出门测时，完成学习条件是否正确（待确认）,PENDING,contains_pending_logic,False,True,False
TC-027,周末提升计划 - 第四步“学习完成啦”,P2,P2,P2,P2,optional,uncertain_requirement_guard,low,,[待确认] 验证已完成学习的用户，在下次进入周末提升计划时，系统是否直接展示第四步“学习完成啦”页面，无需重新走学习流程,PENDING,contains_pending_logic,False,True,False
TC-035,周末提升计划 - 在线学习,P2,P2,P2,P2,optional,uncertain_requirement_guard,low,,[待确认] 验证每个课程知识点切片是否都配备独立的出门测模块，以及未完成出门测的切片是否影响整体学习进度的计算,PENDING,contains_pending_logic,False,True,False
TC-039,周末提升计划 - 状态流转,P2,P2,P2,P2,optional,uncertain_requirement_guard,low,,[待确认] 验证周六完成全部学习任务后，周日再次进入周末提升计划，任务状态应显示为已完成，不可重复完成（周六日任务相同场景）,PENDING,contains_pending_logic,False,True,False
TC-040,周末提升计划 - 打印功能（门店管理系统侧）,P2,P2,P2,P2,optional,uncertain_requirement_guard,low,,[待确认] 验证提交打印请求后，门店管理系统能够正常展示该打印任务，列表项包含学员信息、学习内容摘要等关键字段,PENDING,contains_pending_logic,False,True,False
TC-041,周末提升计划 - 权限/鉴权异常,P2,P2,P2,P2,optional,uncertain_requirement_guard,low,,【待确认】验证未完成全部学习任务（未触发学习完成）的用户，通过直接输入URL等方式尝试访问学习报告页面，系统进行拦截并引导至学习流程,PENDING,contains_pending_logic,False,True,False
TC-044,周末提升计划 - 打印功能,P2,P2,P2,P2,optional,uncertain_requirement_guard,low,,[待确认] 验证提交打印请求时，系统是否一次性将所有知识点对应的学习材料合并为一个打印任务，而不是生成多个独立打印任务,PENDING,contains_pending_logic,False,True,False
