case_id,module,priority,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,首页-全局控制,P1,进入首页时付费状态校验请求超时（非网络断开），页面展示超时提示并支持重试,PASS,-,False,False,False
TC-002,首页-全局控制,P1,用户首次进入系统时，强制弹出教材版本和年级选择弹窗,PASS,-,False,False,False
TC-003,首页-全局控制,P1,首次进入弹窗选择教材年级时，用户无法关闭弹窗或跳过选择,PASS,-,False,False,False
TC-004,首页-全局控制,P1,付费状态在会话中由未付费变为已付费后，返回首页时学习入口不再弹出付费提示,PASS,-,False,False,False
TC-005,首页-全局控制,P1,进入首页时网络异常导致付费状态校验失败，系统显示通用网络异常提示并支持重试,PASS,-,False,False,False
TC-006,首页-全局控制,P1,首次选择教材年级后保存失败（服务器500），弹窗不关闭，提示用户重试,PASS,-,False,False,False
TC-007,首页-全局控制,P1,用户选择教材版本和年级后，该组合在当前教学周无任务数据时首页展示正确空状态,PASS,-,False,False,False
TC-008,首页-全局控制,P1,用户付费状态为'已过期'时，点击学习入口弹出与未付费相同的付费提示,PASS,-,False,False,False
TC-009,首页-全局控制,P1,未付费用户点击任何学习入口时弹出提示弹窗,PASS,-,False,False,False
TC-010,周中练习-核心流程,P1,周中练习提交后AI即时判分，任务状态立即更新为已完成,PASS,-,False,False,False
TC-011,周中练习-习题本,P1,用户重新提交周中练习后，习题本数据被新结果覆盖,PASS,-,False,False,False
TC-012,周中练习-习题本,P1,周中练习提交后，系统生成习题本并正确展示统计数据,PASS,-,False,False,False
TC-013,周末提升-学习报告,P1,学习报告页'返回首页'按钮点击后跳转首页，标记周末提升任务为已完成,PASS,-,False,False,False
TC-014,首页-连续学习天数,P1,连续学习天数：当天有任务完成则+1，否则次日清零,PASS,-,False,False,False
TC-015,异常处理-网络,P1,网络异常时拍照判题功能显示通用提示，保留已加载数据，支持重试,PASS,-,False,False,False
TC-016,周末提升-任务生成,P1,周末首次查看时，系统根据本周错题本自动生成周末提升任务,PASS,-,False,False,False
TC-017,首页-周切换,P1,系统切换教学周（下周一定时任务）时自动归零上周任务并加载新周任务,PASS,-,False,False,False
TC-018,首页-教学周-补做,P1,用户在历史周补做待完成的任务后状态更新且数据计入历史周统计,PASS,-,False,False,False
