candidate_index,case_id,description,test_module,model_priority_current,selected_by_review_llm,selected_by_review_gate,retained_final,dropped_stage,dropped_reason,bucket,rule_keys,adds_rule,adds_bucket,high_signal,has_coverage_value,retained_reason,rerank_rank,focus_score,covered_rule_ids,missing_rule_hits,core_rule_hits,coverage_gain_score,signature
1,TC-001,验证初中端Aa英语模块入口数量从6个扩展至7个,初中端-入口布局,P2,True,True,True,retained,retained,初中端-入口布局|happy,[],False,True,False,True,retained_default,5,0,"[""RULE-002"", ""RULE-030""]","[""RULE-030""]","[""RULE-030""]",23,初中端-入口布局|验证初中端aa英语模块入口数量从6个扩展至7个|入口数量显示为7个|aa英语模块入口数量
2,TC-002,验证初中端保留标准化自习入口,初中端-入口布局,P2,True,False,False,review_gate,drop_no_new_rule_no_new_bucket_no_high_signal,初中端-入口布局|happy,[],False,False,False,False,,6,0,"[""RULE-002""]",[],[],-22,初中端-入口布局|验证初中端保留标准化自习入口|存在标准化自习入口|标准化自习入口存在性
3,TC-003,验证初中端保留查漏补缺入口,初中端-入口布局,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,初中端-入口布局|happy,[],False,False,False,False,,0,0,"[""RULE-002""]",[],[],-22,初中端-入口布局|验证初中端保留查漏补缺入口|存在查漏补缺入口|查漏补缺入口存在性
4,TC-004,验证初中端保留专题背单词入口,初中端-入口布局,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,初中端-入口布局|happy,[],False,False,False,False,,0,0,"[""RULE-002""]",[],[],-22,初中端-入口布局|验证初中端保留专题背单词入口|存在专题背单词入口|专题背单词入口存在性
5,TC-005,验证初中端保留习题讲解入口,初中端-入口布局,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,初中端-入口布局|happy,[],False,False,False,False,,0,0,"[""RULE-002""]",[],[],-22,初中端-入口布局|验证初中端保留习题讲解入口|存在习题讲解入口|习题讲解入口存在性
6,TC-006,验证初中端保留真题套卷入口,初中端-入口布局,P2,False,False,False,review_llm,drop_not_selected_by_review_llm,初中端-入口布局|happy,[],False,False,False,False,,0,0,"[""RULE-002""]",[],[],-22,初中端-入口布局|验证初中端保留真题套卷入口|存在真题套卷入口|真题套卷入口存在性
7,TC-007,验证初中端分版本背单词替换闯关背单词,初中端-入口布局,P2,True,True,True,retained,retained,初中端-入口布局|happy,[],False,False,False,True,retained_due_to_coverage_value,7,0,"[""RULE-002"", ""RULE-030""]","[""RULE-030""]","[""RULE-030""]",23,初中端-入口布局|验证初中端分版本背单词替换闯关背单词|闯关背单词入口不存在，显示分版本背单词入口|闯关背单词/分版本背单词入口
8,TC-008,验证初中端新增学课文入口,初中端-入口布局,P2,True,False,False,review_gate,drop_no_new_rule_no_new_bucket_no_high_signal,初中端-入口布局|happy,[],False,False,False,False,,8,0,"[""RULE-002""]",[],[],-22,初中端-入口布局|验证初中端新增学课文入口|存在学课文入口|学课文入口存在性
9,TC-009,验证初中端底部功能栏保留小升初入口,初中端-底部功能栏,P2,True,False,False,review_gate,drop_no_new_rule_no_new_bucket_no_high_signal,初中端-底部功能栏|happy,[],False,False,False,False,,10,0,"[""RULE-002""]",[],[],-22,初中端-底部功能栏|验证初中端底部功能栏保留小升初入口|底部功能栏存在小升初入口|小升初入口存在性
10,TC-010,验证初中端底部功能栏保留国学素养入口,初中端-底部功能栏,P2,True,True,True,retained,retained,初中端-底部功能栏|happy,[],False,True,False,False,retained_default,9,0,"[""RULE-002""]",[],[],-22,初中端-底部功能栏|验证初中端底部功能栏保留国学素养入口|底部功能栏存在国学素养入口|国学素养入口存在性
