case_id,module,priority,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,任务与判分,P1,固定节奏 - 周中记录→周末专项提升→归档全流程,PASS,-,True,False,False
TC-002,任务与判分,P1,周中提交任务后AI即时判分并归档错题,PASS,-,False,False,False
TC-003,任务与判分,P1,督导端“完成判卷”仅流程标记，不改学情/状态,PASS,-,False,False,False
TC-004,核心闭环,P1,核心闭环 - 采集→定位→推荐→反馈完整教学闭环,PASS,-,False,False,False
TC-005,周末学习,P1,周末学习与测评 - 下一课操作：在周末课程包中点击'下一课'，验证课程切换与进度保存,PASS,-,False,False,False
TC-006,跨模块,P1,跨模块联动 - 首页工单台任务状态同步：完成周末任务后，首页工单台对应任务状态变为已完成,PASS,-,False,False,False
TC-007,跨模块,P1,跨模块联动 - 知识点掌握情况实时更新：周中提交新错题后，知识点掌握度立即按本周答题情况重新计算,PASS,-,False,False,False
TC-008,全局控制与权限,P1,教材/年级切换：首次选择后默认加载，后续自动沿用，切换后独立计数,PASS,-,False,False,False
TC-009,全局控制与权限,P1,全局控制与权限 - 付费用户正常访问所有核心功能,PASS,-,False,False,False
TC-010,教学周控制,P2,边界 - 周日24:00前后状态变化：在周日23:59可操作，00:00后仅可查看,PASS,-,False,False,False
TC-011,学习数据与统计,P1,周度统计累加 - 本周完成题数与正确率正确累加至周度统计,PASS,-,False,False,False
TC-012,学习数据与统计,P1,周一习题本自动生成：当日任务完成后生成，无/全对/有错题三态,PASS,-,False,False,False
TC-013,学习报表,P1,正确率计算 - 已做题中错误数/总做题数：验证定位学正确率字段计算准确,PASS,-,False,False,False
TC-014,学习报表,P1,数据模板切换 - 课程名称与模块/学习量：从标准化章名切换为定位学，验证课程名称和模块列表变化,PASS,-,False,False,False
TC-015,学习报表,P1,周周期统计 - 按周统计隔离：验证当前周与上周的学习时长、正确率、互动数据独立统计不混淆,PASS,-,False,False,False
TC-016,学习报表,P1,数据模板 - 是否完成标志：定位学模板下，验证当知识点全部学完且测评答案填写后，'是否完成'显示为完成,PASS,-,False,False,False
TC-017,异常与边界,P1,网络异常：通用提示，保留已加载数据，支持重试,PASS,-,False,False,False
TC-018,异常与边界,P2,无薄弱点/无学习数据时，相应按钮置灰与兜底文案,PASS,-,False,False,False
TC-019,周末学习与测评,P2,随堂测评：打印题→手写→拍照上传→OCR+AI判分，错题归“定位学-数学”,PASS,-,False,False,False
TC-020,督导端,P1,督导端单题错题集：拍照判题→预览修改→完成判卷入库，不推荐错题,PASS,-,False,False,False
TC-021,督导端,P1,督导端“完成判卷”按钮不改学情/状态,PASS,-,False,False,False
TC-022,错题本与去重,P1,错题去重 - 同一道错题多次提交，错题本只记录一次,PASS,-,False,False,False
TC-023,随堂测评,P2,异常 - 随堂测评拍照上传失败（OCR识别超时）：验证错误提示与重试机制,PASS,-,False,False,False
TC-024,学习报告,P1,学习报告页 - 重新学习（补做期内）：在补做期内点击'重新学习'，验证任务重置并允许重新操作,PASS,-,False,False,False
TC-025,学习报告页,P2,返回首頁：将当前周周末任务标记为已完成,PASS,-,False,False,False
AUTO-CORE-FLOW,学习路径-核心工作流,P1,验证完整学习路径闭环：学课文 -> 词组消消乐 -> 选词填空 -> 返回首页,REPAIRABLE,-,False,False,False
