candidate_index,case_id,description,test_module,model_priority_current,selected_by_review_llm,selected_by_review_must_keep,selected_by_review_constraints,selected_by_review_gate,retained_final,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,review_constraint_reason,bucket,rule_keys,adds_rule,adds_bucket,high_signal,has_coverage_value,retained_reason,rerank_rank,focus_score,covered_rule_ids,missing_rule_hits,core_rule_hits,coverage_gain_score,signature
1,TC-001,验证未付费用户首次进入首页，点击任何学习入口均弹出付费提示,首页-全局控制,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页-全局控制|happy,[],False,True,True,True,retained_default,3,0,"[""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-035"", ""RULE-058"", ""RULE-083"", ""RULE-086"", ""RULE-088"", ""RULE-089"", ""RULE-090"", ""RULE-091"", ""RULE-092"", ""RULE-093"", ""RULE-094"", ""RULE-096"", ""RULE-097"", ""RULE-098"", ""RULE-100"", ""RULE-107""]",[],"[""RULE-098""]",28,首页-全局控制|验证未付费用户首次进入首页，点击任何学习入口均弹出付费提示|弹出提示文案：“开启完整学习体验。购买后即可解锁全部周中练习、周末提升和错题解析功能，开启你的定制化进步之路。”|无
2,TC-002,验证首次使用时无默认教材/年级，强制弹出选择弹窗,首页-全局控制,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页-全局控制|happy,[],False,False,True,True,retained_due_to_coverage_value,18,0,"[""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-058"", ""RULE-083"", ""RULE-086"", ""RULE-088"", ""RULE-096"", ""RULE-097"", ""RULE-098"", ""RULE-100"", ""RULE-107"", ""RULE-109"", ""RULE-113""]",[],"[""RULE-098""]",28,首页-全局控制|验证首次使用时无默认教材/年级，强制弹出选择弹窗|系统强制弹窗让用户选择教材版本+年级，选择后保存为默认，并加载对应数据。|无
3,TC-003,验证已有默认教材/年级的用户再次进入时自动加载上次的选择,首页-全局控制,P2,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""bucket"": ""首页-全局控制|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": 28, ""selected_case_ids"": [""TC-001"", ""TC-002""], ""selected_count_in_bucket"": 2, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": true, ""missing_rule_hits"": [], ""core_rule_hits"": [""RULE-098""], ""unique_coverage_hits"": [""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-058"", ""RULE-065"", ""RULE-083"", ""RULE-086"", ""RULE-096"", ""RULE-098"", ""RULE-099"", ""RULE-100"", ""RULE-107"", ""RULE-109"", ""RULE-113"", ""RULE-118""], ""reuse_risk_hit"": false, ""reason_from"": ""llm""}",True,True,True,True,,首页-全局控制|happy,[],False,False,False,True,,0,0,"[""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-058"", ""RULE-065"", ""RULE-083"", ""RULE-086"", ""RULE-096"", ""RULE-098"", ""RULE-099"", ""RULE-100"", ""RULE-107"", ""RULE-109"", ""RULE-113"", ""RULE-118""]",[],"[""RULE-098""]",28,首页-全局控制|验证已有默认教材/年级的用户再次进入时自动加载上次的选择|自动加载用户上次使用的教材版本+年级，页面显示对应的当前教学周数据。|无
4,TC-004,验证切换教材/年级后页面立即重新加载当前周数据，不同组合间数据独立,首页-全局控制,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""bucket"": ""首页-全局控制|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 28, ""selected_case_ids"": [""TC-001"", ""TC-002""], ""selected_count_in_bucket"": 2, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [""RULE-098""], ""unique_coverage_hits"": [""RULE-065"", ""RULE-086"", ""RULE-098"", ""RULE-100"", ""RULE-101"", ""RULE-102"", ""RULE-103"", ""RULE-104"", ""RULE-107"", ""RULE-109"", ""RULE-113""], ""reuse_risk_hit"": false, ""reason_from"": ""llm""}",True,True,True,False,,首页-全局控制|happy,[],False,False,False,True,,0,0,"[""RULE-065"", ""RULE-086"", ""RULE-098"", ""RULE-100"", ""RULE-101"", ""RULE-102"", ""RULE-103"", ""RULE-104"", ""RULE-107"", ""RULE-109"", ""RULE-113""]",[],"[""RULE-098""]",28,首页-全局控制|验证切换教材/年级后页面立即重新加载当前周数据，不同组合间数据独立|页面立即重新加载当前教学周下新组合对应的任务数据，与原组合数据无关。返回原组合后数据保留。|选择新的教材版本和年级
5,TC-005,验证进入首页时系统通过服务器时间自动定位当前教学周,首页-全局控制,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""bucket"": ""首页-全局控制|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [""TC-001"", ""TC-002""], ""selected_count_in_bucket"": 2, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": true, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-058"", ""RULE-065"", ""RULE-083"", ""RULE-086"", ""RULE-107"", ""RULE-109"", ""RULE-113""], ""reuse_risk_hit"": false, ""reason_from"": ""llm""}",True,True,True,True,,首页-全局控制|happy,[],False,False,False,False,,0,0,"[""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-058"", ""RULE-065"", ""RULE-083"", ""RULE-086"", ""RULE-107"", ""RULE-109"", ""RULE-113""]",[],[],20,首页-全局控制|验证进入首页时系统通过服务器时间自动定位当前教学周|顶部显示当前教学周范围（如2026.04.07-13），并加载该周的任务数据。|无
6,TC-006,验证通过顶部箭头切换周次可加载前后周数据,首页-全局控制,P2,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_redundant,coverage_redundant,coverage_redundant,llm,"{""bucket"": ""首页-全局控制|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [""TC-001"", ""TC-002""], ""selected_count_in_bucket"": 2, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": true, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-086"", ""RULE-101"", ""RULE-107"", ""RULE-109"", ""RULE-111"", ""RULE-113""], ""reuse_risk_hit"": false, ""reason_from"": ""llm""}",True,True,True,True,,首页-全局控制|happy,[],False,False,False,False,,0,0,"[""RULE-086"", ""RULE-101"", ""RULE-107"", ""RULE-109"", ""RULE-111"", ""RULE-113""]",[],[],20,首页-全局控制|验证通过顶部箭头切换周次可加载前后周数据|页面加载对应周次的任务数据；回到当前周后数据与之前一致。|无
7,TC-007,验证历史周中“待完成”任务可补学，状态更新为已完成,首页-全局控制,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页-全局控制|state,[],False,True,True,True,retained_default,13,1,"[""RULE-086"", ""RULE-087"", ""RULE-089"", ""RULE-101"", ""RULE-116"", ""RULE-118""]",[],[],20,首页-全局控制|验证历史周中“待完成”任务可补学，状态更新为已完成|任务状态变为“已完成”，该历史周的统计（如完成数、错题数）同步更新。|完成该任务所需的作答
8,TC-008,验证周中练习提交后AI即时判分，任务状态立即更新为已完成,首页-任务状态,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页-任务状态|state,[],False,True,True,True,retained_default,12,1,"[""RULE-086"", ""RULE-087"", ""RULE-089"", ""RULE-092"", ""RULE-107"", ""RULE-113"", ""RULE-118""]",[],[],20,首页-任务状态|验证周中练习提交后ai即时判分，任务状态立即更新为已完成|系统显示ai判分完成；该任务状态变为“已完成”；错题自动归集至本周错题本。|提交作答数据
9,TC-009,验证周末提升任务仅需完成即标记为已完成（无需AI判分）,首页-任务状态,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页-任务状态|state,[],False,False,True,True,retained_due_to_coverage_value,22,1,"[""RULE-086"", ""RULE-087"", ""RULE-107"", ""RULE-118""]",[],[],20,首页-任务状态|验证周末提升任务仅需完成即标记为已完成（无需ai判分）|任务状态立即变为“已完成”。|完成学习（含视频和随堂测评）
10,TC-010,验证督导端“完成判卷”按钮不改变系统任务状态,首页-任务状态,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页-任务状态|state,[],False,False,True,True,retained_due_to_coverage_value,23,1,"[""RULE-087"", ""RULE-107""]",[],[],20,首页-任务状态|验证督导端“完成判卷”按钮不改变系统任务状态|用户端任务状态不变（仍为“待完成”），仅督导侧工作流程标记。|多次点击“完成判卷”
