candidate_index,case_id,description,test_module,model_priority_current,selected_by_review_llm,selected_by_review_must_keep,selected_by_review_constraints,selected_by_review_gate,retained_final,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,review_constraint_reason,bucket,rule_keys,adds_rule,adds_bucket,high_signal,has_coverage_value,retained_reason,rerank_rank,focus_score,covered_rule_ids,missing_rule_hits,core_rule_hits,coverage_gain_score,signature
1,TC-001,核心闭环-付费拦截：未付费用户尝试访问周末课程推荐页时，系统拦截并引导付费,全局控制与权限-付费校验,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,全局控制与权限-付费校验|happy,[],False,True,True,True,retained_default,2,0,"[""RULE-003"", ""RULE-004"", ""RULE-009"", ""RULE-010"", ""RULE-047""]",[],"[""RULE-003""]",28,全局控制与权限-付费校验|核心闭环-付费拦截：未付费用户尝试访问周末课程推荐页时，系统拦截并引导付费|页面跳转至付费引导页或弹出付费弹窗，不可访问完整功能。|用户未付费
2,TC-002,教材/年级-首次选择默认：首次进入系统时必须选择教材与年级，后续自动加载,全局控制与权限-教材/年级,P1,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""全局控制与权限-教材/年级|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-007"", ""RULE-009"", ""RULE-011""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,全局控制与权限-教材/年级|happy,[],False,False,False,False,,0,0,"[""RULE-007"", ""RULE-009"", ""RULE-011""]",[],[],20,全局控制与权限-教材/年级|教材/年级-首次选择默认：首次进入系统时必须选择教材与年级，后续自动加载|系统保存选择，后续访问自动加载该教材/年级，无需重复选择。|选择教材版本a与年级三年级
3,TC-003,教材/年级-切换独立计数：切换教材/年级后，任务进度与数据独立统计,全局控制与权限-教材/年级,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,全局控制与权限-教材/年级|state,[],False,True,True,True,retained_default,13,1,"[""RULE-007"", ""RULE-009"", ""RULE-011""]",[],[],20,全局控制与权限-教材/年级|教材/年级-切换独立计数：切换教材/年级后，任务进度与数据独立统计|系统以新教材/年级重新定位教学周（可能不同），显示该组合下的独立任务进度（无历史数据，均为待完成）。|切换至教材b/四年级
4,TC-004,教学周-自动定位与切换：系统自动定位当前教学周，支持向前/向后切换,全局控制与权限-教学周,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,全局控制与权限-教学周|state,[],False,True,True,True,retained_default,12,1,"[""RULE-007"", ""RULE-009"", ""RULE-011"", ""RULE-049""]",[],[],20,全局控制与权限-教学周|教学周-自动定位与切换：系统自动定位当前教学周，支持向前/向后切换|默认显示第8周；向左切换到第7周，数据与状态相应变化；向右切换回第8周。|无
5,TC-005,补做范围-操作限制：当前周和上周补做期内可进行学习操作，更早周仅可查看,全局控制与权限-补做范围,P1,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""全局控制与权限-补做范围|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-009""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,全局控制与权限-补做范围|happy,[],False,False,False,False,,0,0,"[""RULE-009""]",[],[],20,全局控制与权限-补做范围|补做范围-操作限制：当前周和上周补做期内可进行学习操作，更早周仅可查看|第7周任务可正常进入学习；第6周任务只可查看内容，禁止操作（如提交、判卷等）。|切换至第7周、第6周
6,TC-006,过期规则-周日24:00后仅可查看：当前周周日24:00后任务状态变为只读,全局控制与权限-过期规则,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,全局控制与权限-过期规则|state,[],False,True,True,True,retained_default,14,1,"[""RULE-009"", ""RULE-014""]",[],[],20,全局控制与权限-过期规则|过期规则-周日24:00后仅可查看：当前周周日24:00后任务状态变为只读|系统提示‘该周任务已过期，仅可查看’，不可进行提交、判卷等操作。|无
7,TC-007,周中任务-提交即AI判分：用户完成周中题目并提交后，AI即时判分并自动归档错题,任务与判分-周中判分,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,任务与判分-周中判分|exception,[],False,True,True,True,retained_default,1,2,"[""RULE-015"", ""RULE-017"", ""RULE-049""]",[],"[""RULE-017""]",13,任务与判分-周中判分|周中任务-提交即ai判分：用户完成周中题目并提交后，ai即时判分并自动归档错题|系统显示ai即时判分结果（正确/错误数量），并将2道错题自动归入错题本（按日期归档）。|答案：3对2错
8,TC-008,任务状态-只有已完成/待完成：周中任务提交后状态变为已完成,任务与判分-任务状态,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,任务与判分-任务状态|state,[],False,True,True,True,retained_default,11,1,"[""RULE-015"", ""RULE-016""]",[],[],20,任务与判分-任务状态|任务状态-只有已完成/待完成：周中任务提交后状态变为已完成|该任务状态变为‘已完成’，不可再次提交。|无
9,TC-009,周末课程包-内容基于本周错题本生成：同一用户周六与周日看到的周末课程包内容相同,任务与判分-周末课程包,P1,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""任务与判分-周末课程包|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-015"", ""RULE-047""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,任务与判分-周末课程包|happy,[],False,False,False,False,,0,0,"[""RULE-015"", ""RULE-047""]",[],[],-8,任务与判分-周末课程包|周末课程包-内容基于本周错题本生成：同一用户周六与周日看到的周末课程包内容相同|两天显示的课程包知识点列表完全相同（基于同一错题本生成）。|无
10,TC-010,连续学习天数-中断清零：用户某天未完成任何学习任务，连续天数从0重新计算,学习数据与统计-连续学习天数,P1,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""学习数据与统计-连续学习天数|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-019"", ""RULE-020""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,学习数据与统计-连续学习天数|happy,[],False,False,False,False,,0,0,"[""RULE-019"", ""RULE-020""]",[],[],20,学习数据与统计-连续学习天数|连续学习天数-中断清零：用户某天未完成任何学习任务，连续天数从0重新计算|连续学习天数显示为0（中断），而非3。|无
