case_id,module,priority,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,首页-付费校验,P1,付费用户点击学习入口（周中练习/周末提升/错题本），正常进入功能，不弹出付费提示,PASS,-,False,False,False
TC-002,首页-付费校验,P1,首次进入首页，未付费状态下点击周中练习任务，弹出付费提示弹窗,PASS,-,False,False,False
TC-003,首页-付费校验,P2,未付费用户绕过前端直接请求周中练习提交接口，后端校验付费状态并返回错误,PASS,-,False,False,False
TC-004,首页-教材年级切换,P1,切换教材版本或年级，页面立即重新加载新组合在当前教学周下的数据，且进度独立,PASS,-,False,False,False
TC-005,首页-教材年级选择,P1,首次进入首页，未选择教材年级时强制弹窗选择，选择后保存为默认,PASS,-,False,False,False
TC-006,周中练习-完成流程,P1,周中练习完成流程：用户提交答案后，AI即时判分，任务状态变为已完成，错题自动归档至对应日期错题本,PASS,-,False,False,False
TC-007,学习报告-生成,P1,完成所有在线学习和测评后，点击'提交全部，查看学习报告'，跳转至学习报告页，报告基于全量数据生成,PASS,-,False,False,False
TC-008,周中练习-空状态边界,P1,周中练习全对时，习题本显示鼓励文案，不展示错题详情,PASS,-,False,False,False
TC-009,历史周-重新学习,P1,重新学习历史周任务：用户再次完成同一历史周任务，新结果覆盖原数据，更新知识点掌握情况,PASS,-,False,False,False
TC-010,周中练习-网络异常,P1,周中练习提交时网络异常，系统应有重试机制，保留已提交数据,PASS,-,False,False,False
TC-011,周期切换,P1,周期切换：周一00:00系统自动切换到下一教学周，上周数据归档并可查看历史,PASS,-,False,False,False
TC-012,周末提升-任务生成,P1,周末任务首次生成：用户首次进入周末界面，系统根据本周错题本自动生成周末提升任务,PASS,-,False,False,False
TC-013,周末提升-薄弱点定位,P1,薄弱点定位页面增量更新：完成任务后返回刷新，AI分析结果增量新增薄弱点，不覆盖原有数据,PASS,-,False,False,False
TC-014,学习报告-历史查看,P2,历史周报告查看，仅可浏览，不可重新学习（超过上周补做期）,PASS,-,False,False,False
TC-015,在线学习-随堂测评拍照,P1,随堂测评拍照上传后，显示答题照片，支持重拍，触发OCR识别+AI判分,PASS,-,False,False,False
TC-016,学习报告-分享,P2,学习报告分享至微信，家长收到链接后仅可查看，无操作权限,PASS,-,False,False,False
