case_id,module,priority,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,首页-教材年级切换,P1,切换教材年级后，页面立即重新加载当前教学周下新组合的独立数据，周中任务内容和统计归零,PASS,-,False,False,False
TC-002,首页-教材年级选择,P1,首次进入系统时，无默认教材年级，强制弹窗要求用户选择并保存为默认,PASS,-,False,False,False
TC-003,首页-付费校验,P1,未付费用户点击首页任何学习入口时，弹出付费提示弹窗，阻止进入学习流程,PASS,-,False,False,False
TC-004,周中练习-核心工作流,P1,完成周中练习、AI即时判分后，任务状态更新为已完成，同步生成当日习题本模块且展示正确统计数据,PASS,-,False,False,False
TC-005,随堂测评-核心流程,P1,随堂测评模块支持打印题目，拍照上传答题纸后触发OCR和AI判分，判分结果正确归集错题至定位学-数学错题本,PASS,-,False,False,False
TC-006,学习报告-返回首页,P1,学习报告生成后，点击【返回首页】按钮跳转回首页并标记周末提升任务为已完成,PASS,-,False,False,False
TC-007,首页-历史补学,P1,在历史周中，待完成任务的补学完成后，任务状态变更为已完成，数据计入该历史周的统计,PASS,-,False,False,False
TC-008,周中练习-全对边界,P2,周中练习全部正确时，习题本模块展示鼓英文案，不显示具体错题详情,PASS,-,False,False,False
TC-009,周中练习-数据覆盖,P1,重新做同一历史周的周中练习并提交后，系统用最新结果覆盖该天习题本数据，同步更新该周知识点掌握情况,PASS,-,False,False,False
TC-010,周末流程-任务生成,P1,周末首次进入界面时，系统根据本周错题本调用教研逻辑生成周末提升任务，状态为待完成,PASS,-,False,False,False
TC-011,在线学习-步骤完成触发跳转,P1,所有课程视频学习完成且所有随堂测评提交判分完成后，【提交全部，查看学习报告】按钮变为可点击，点击后跳转到学习报告页,PASS,-,False,False,False
TC-012,课程推荐,P1,课程推荐页面加载后，列表展示基于薄弱点生成的AI推荐课程，支持查看关联知识点详情,PASS,-,False,False,False
TC-013,首页-教学周切换,P1,首页根据服务器时间自动定位并显示当前教学周，支持通过箭头切换前/后周查看历史或未来周数据,PASS,-,False,False,False
TC-014,周末流程-补做时限,P1,上周在补做期内可正常进行薄弱点定位、生成课程推荐及学习，过期后仅可查看不可操作,PASS,-,False,False,False
TC-015,学习报告-内容展示,P1,学习报告页面基于本周全量学习数据生成，展示答题照片区（最近20张）、能力模型评分、数据汇总、AI下一步学习规划建议,PASS,-,False,False,False
TC-016,课程推荐-跳转在线学习,P1,【立即开始学习全套课程】按钮点击后，按推荐顺序跳转到在线学习页面，并依次加载课程视频,PASS,-,False,False,False
TC-017,在线学习-视频播放与切换,P2,在线学习页面视频支持断点续播，切换‘上⼀课’/‘下⼀课’时保留当前课程学习进度,PASS,-,False,False,False
TC-018,薄弱点定位,P2,AI薄弱点定位页面加载后，按掌握度从低到高排序展示知识点列表，显示知识点名称、关联错题数、掌握度,PASS,-,False,False,False
