candidate_index,case_id,description,test_module,model_priority_current,selected_by_review_llm,selected_by_review_must_keep,selected_by_review_constraints,selected_by_review_gate,retained_final,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,review_constraint_reason,bucket,rule_keys,adds_rule,adds_bucket,high_signal,has_coverage_value,retained_reason,rerank_rank,focus_score,covered_rule_ids,missing_rule_hits,core_rule_hits,coverage_gain_score,signature
1,TC-001,未付费用户访问定位学系统完整功能，校验付费拦截,权限与付费校验,P1,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""权限与付费校验|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-010"", ""RULE-048""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,权限与付费校验|happy,[],False,False,False,False,,0,0,"[""RULE-010"", ""RULE-048""]",[],[],-8,权限与付费校验|未付费用户访问定位学系统完整功能，校验付费拦截|页面弹出付费提示，禁止进入完整功能；仅可查看免费预览内容（如首页概览），不可进行周中刷题、周末学习等核心操作|无
2,TC-002,付费用户首次进入定位学，选择教材与年级后默认保存并自动定位当前教学周,教材/年级选择与教学周定位,P1,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""教材/年级选择与教学周定位|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-007"", ""RULE-011"", ""RULE-049""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,教材/年级选择与教学周定位|happy,[],False,False,False,False,,0,0,"[""RULE-007"", ""RULE-011"", ""RULE-049""]",[],[],20,"教材/年级选择与教学周定位|付费用户首次进入定位学，选择教材与年级后默认保存并自动定位当前教学周|选择成功后自动跳转到定位学主界面，默认展示当前教学周（基于服务器时间），顶部显示'人教版·四年级·第n周'；后续进入自动加载该教材/年级|教材='人教版', 年级='四年级'"
3,TC-003,付费用户切换教材/年级，独立计数校验,教材/年级切换,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,教材/年级切换|state,[],False,True,True,True,retained_default,19,1,"[""RULE-007"", ""RULE-011""]",[],[],20,"教材/年级切换|付费用户切换教材/年级，独立计数校验|系统加载新教材/年级下的内容，教学周为该年级当前周；原有'人教版五年级'的学习记录（错题、任务状态等）独立保存，不受影响；切换后显示新教材数据|新教材='北师大版', 新年级='三年级'"
4,TC-004,教学周切换至历史周（补做期内），可正常进行补做,教学周切换与补做,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,教学周切换与补做|state,[],False,True,True,True,retained_default,18,1,"[""RULE-016"", ""RULE-049""]",[],[],20,教学周切换与补做|教学周切换至历史周（补做期内），可正常进行补做|页面显示第4周的任务列表，状态为'待完成'；用户可正常进入刷题、提交并触发判分；任务完成后状态更新为'已完成'；周中任务数据计入该周统计|教学周='第4周'
5,TC-005,教学周切换至更早历史周（超过上周补做期），仅可查看不可操作,教学周切换与查看限制,P2,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""教学周切换与查看限制|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-049""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,教学周切换与查看限制|happy,[],False,False,False,False,,0,0,"[""RULE-049""]",[],[],-8,教学周切换与查看限制|教学周切换至更早历史周（超过上周补做期），仅可查看不可操作|页面显示第3周的学习数据，但所有操作按钮（如进入刷题、提交答案）置灰或不可点击；顶部提示'该周已过补做期，仅可查看'|教学周='第3周'
6,TC-006,过期规则边界：周日24:00前可操作，24:00后仅可查看,过期规则边界,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,过期规则边界|boundary,[],False,True,True,True,retained_default,14,2,"[""RULE-014"", ""RULE-049""]",[],[],-16,过期规则边界|过期规则边界：周日24:00前可操作，24:00后仅可查看|周日23:59时提交成功，任务标记为已完成；周日24:01后进入本周页面，所有操作按钮置灰，仅可查看已有数据，不可提交新任务|时间节点：23:59 和 00:01（跨天）
7,TC-007,周中任务刷题提交后AI即时判分并归档错题,任务与判分,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,任务与判分|exception,[],False,True,True,True,retained_default,1,3,"[""RULE-015"", ""RULE-016"", ""RULE-017"", ""RULE-048"", ""RULE-049""]",[],"[""RULE-017""]",28,任务与判分|周中任务刷题提交后ai即时判分并归档错题|ai即时返回判分结果，页面显示正确/错误数量；自动将错题归入'我的错题'模块，按当前日期归档；任务状态由'待完成'变为'已完成'|提交10道题，其中3题错误
8,TC-008,督导'完成判卷'按钮仅标记流程，不改学情/状态,督导流程标记,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,督导流程标记|state,[],False,True,True,True,retained_default,20,1,"[""RULE-016"", ""RULE-042"", ""RULE-044"", ""RULE-045"", ""RULE-049""]",[],[],20,督导流程标记|督导'完成判卷'按钮仅标记流程，不改学情/状态|督导端流程状态标记为'已判卷'，但学生端任务状态维持原状（待完成或已完成不受影响），错题本不新增，掌握度不更新|无
9,TC-009,周末课程包：教研按本周错题本生成统一课程包，周六与周日内容相同,周末学习,P1,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""周末学习|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-018"", ""RULE-047""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,周末学习|happy,[],False,False,False,False,,0,0,"[""RULE-018"", ""RULE-047""]",[],[],-8,周末学习|周末课程包：教研按本周错题本生成统一课程包，周六与周日内容相同|周六和周日显示的课程包内容（课程名称、知识点、题目）完全一致；课程包基于本周错题本生成|无
10,TC-010,连续学习天数：完成一次刷题后+1，中断（隔天未完成）清零,学习数据与统计,P1,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""学习数据与统计|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-019""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,学习数据与统计|happy,[],False,False,False,False,,0,0,"[""RULE-019""]",[],[],20,学习数据与统计|连续学习天数：完成一次刷题后+1，中断（隔天未完成）清零|连续学习天数显示为4；若用户今天未完成任何任务，则明天连续天数归零|无
