case_id,module,priority,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,任务与判分,P1,周中任务：提交即AI即时判分并归档错题，任务状态变为'已完成',PASS,-,False,False,False
TC-002,督导端,P1,督导端'完成判卷'按钮仅作流程标记，不改学情/状态,PASS,-,False,False,False
TC-003,督导端,P2,督导端单题错题集：拍照判题→预览修改→点击完成判卷入错题本，不进行错题推荐,PASS,-,False,False,False
TC-004,周末测评,P2,周末测评：打印题→手写→拍照上传，OCR+AI判分，错题归入'定位学-数学',PASS,-,False,False,False
TC-005,周末测评,P1,随堂测评提交全部后生成报告，操作包括上/下一课,PASS,-,False,False,False
TC-006,跨模块联动,P1,跨模块联动：首页工单台任务状态与学习数据同步（如完成周中任务后首页状态更新）,PASS,-,False,False,False
TC-007,跨模块联动,P2,跨模块联动：从错题本跳转至拍照判题来源页面,PASS,-,False,False,False
TC-008,周一习题本,P1,周一习题本：当日任务完成后自动生成，覆盖重学后更新；状态三态：无/全对/有错题,PASS,-,False,False,False
TC-009,学习报告,P1,返回首页操作：将当前周周末任务标记为已完成,PASS,-,False,False,False
TC-010,学习报告,P1,学习报告页：基于学习与测评数据自动生成，补做后全量覆盖更新,PASS,-,False,False,False
TC-011,全局控制,P1,教材/年级：首次选择后自动默认，后续自动加载，支持随时切换且独立计数,PASS,-,False,False,False
TC-012,学习报表,P2,正确率计算边界：无任何答题数据时，正确率显示为'-'或0%,PASS,-,False,False,False
TC-013,学习报表,P1,数据模板切换：课程名称可在标准化章名与定位学之间切换，学习量/完成状态/时长/正确率等字段对应变化,PASS,-,False,False,False
TC-014,异常处理,P1,网络异常：通用提示，保留已加载数据，支持重试,PASS,-,False,False,False
TC-015,异常处理,P2,无薄弱点/无学习数据时，相应按钮置灰与兜底文案,PASS,-,False,False,False
TC-016,权限控制,P2,付费状态从未付费切换为已付费后，功能立即可用,PASS,-,False,False,False
TC-017,权限控制,P2,权限状态变化：用户从已付费变为未付费（如订阅过期），立即限制完整功能,PASS,-,False,False,False
TC-018,AI推荐,P1,周末课程推荐：基于本周全量答题数据生成，支持增量更新与计划追加,PASS,-,False,False,False
TC-019,周末学习,P1,周末课程包：教研按本周错题本生成统一课程包，周六与周日内容相同,PASS,-,False,False,False
TC-020,周末学习,P1,断点续播：周末学习进度同步至课程推荐页与首页,PASS,-,False,False,False
AUTO-CORE-FLOW,学习路径-核心工作流,P1,验证完整学习路径闭环：学课文 -> 词组消消乐 -> 选词填空 -> 返回首页,REPAIRABLE,-,False,False,False
