candidate_index,case_id,description,test_module,model_priority_current,dropped_stage,dropped_reason,bucket,has_coverage_value,high_signal,covered_rule_ids
1,TC-001,未付费用户尝试访问定位学完整功能，验证权限限制,全局控制与权限,P1,review_llm,drop_not_selected_by_review_llm,全局控制与权限|risk,False,False,"[""RULE-009"", ""RULE-049""]"
7,TC-007,周中任务提交后AI即时判分并归档错题，任务状态变为已完成,任务与判分,P1,review_llm,drop_not_selected_by_review_llm,任务与判分|exception,True,True,"[""RULE-015"", ""RULE-016"", ""RULE-017"", ""RULE-042"", ""RULE-044"", ""RULE-045"", ""RULE-049""]"
11,TC-011,周一习题本自动生成并体现三态：无/全对/有错题,学习数据与统计,P1,review_llm,drop_not_selected_by_review_llm,学习数据与统计|state,False,False,"[""RULE-019"", ""RULE-023""]"
12,TC-012,AI薄弱点列表实时更新，历史周仅补做时更新,AI定位与推荐,P1,review_llm,drop_not_selected_by_review_llm,ai定位与推荐|happy,False,False,"[""RULE-004"", ""RULE-024"", ""RULE-026""]"
13,TC-013,周末课程推荐基于本周全量答题数据生成，支持增量更新与计划追加,AI定位与推荐,P1,review_llm,drop_not_selected_by_review_llm,ai定位与推荐|happy,False,False,"[""RULE-004"", ""RULE-024"", ""RULE-027""]"
14,TC-014,周末随堂测评完整流程：打印题→手写→拍照上传→OCR+AI判分→错题归定位学-数学,周末学习与测评,P1,review_llm,drop_not_selected_by_review_llm,周末学习与测评|exception,False,True,"[""RULE-028"", ""RULE-030""]"
15,TC-015,断点续播：退出周末学习后再次进入，进度同步至课程推荐页和首页,周末学习与测评,P1,review_llm,drop_not_selected_by_review_llm,周末学习与测评|happy,False,False,"[""RULE-028""]"
16,TC-016,提交全部随堂测评后自动生成学习报告，补做后全量覆盖更新,学习报告页,P1,review_llm,drop_not_selected_by_review_llm,学习报告页|happy,False,False,"[""RULE-032"", ""RULE-033"", ""RULE-034""]"
17,TC-017,学习报告分享至微信好友/朋友圈，家长端仅读,学习报告页,P1,review_llm,drop_not_selected_by_review_llm,学习报告页|happy,False,False,"[""RULE-032"", ""RULE-035"", ""RULE-049""]"
18,TC-018,重新学习功能：当前周/上周补做期内可重置周末任务,学习报告页,P1,review_llm,drop_not_selected_by_review_llm,学习报告页|state,False,False,"[""RULE-016"", ""RULE-032"", ""RULE-049"", ""RULE-063""]"
19,TC-019,返回首页操作将当前周周末任务标记为已完成,学习报告页,P1,review_llm,drop_not_selected_by_review_llm,学习报告页|state,False,False,"[""RULE-016"", ""RULE-032""]"
20,TC-020,错题本跨模块跳转：从学习报告或首页跳转至错题本具体错题,错题本与去重,P1,review_llm,drop_not_selected_by_review_llm,错题本与去重|happy,False,False,"[""RULE-032"", ""RULE-039""]"
21,TC-021,错题本去重规则与首页一致：同一错题不重复记录,错题本与去重,P1,review_llm,drop_not_selected_by_review_llm,错题本与去重|happy,False,False,"[""RULE-039""]"
22,TC-022,督导端申请拍照判题后，完成判卷按钮仅流程标记，不改学情/状态,督导端,P1,review_llm,drop_not_selected_by_review_llm,督导端|state,False,False,"[""RULE-016"", ""RULE-042"", ""RULE-044"", ""RULE-045"", ""RULE-049""]"
23,TC-023,督导端单题错题集：拍照判题后预览修改，点击完成判卷入错题本，不进行错题推荐,督导端,P1,review_llm,drop_not_selected_by_review_llm,督导端|exception,False,True,"[""RULE-042"", ""RULE-045""]"
24,TC-024,督导端智能课堂：进入小学数学定位学第N周周六/周日切片，显示周中刷题按钮和申请拍照判题按钮,督导端,P1,review_llm,drop_not_selected_by_review_llm,督导端|happy,False,False,"[""RULE-042"", ""RULE-046"", ""RULE-047"", ""RULE-048"", ""RULE-049""]"
25,TC-025,网络异常时通用提示，保留已加载数据，支持重试,异常与边界,P2,review_llm,drop_not_selected_by_review_llm,异常与边界|exception,False,True,"[""RULE-049"", ""RULE-058"", ""RULE-059""]"
26,TC-026,数据主键三维唯一性：同一用户、同一教材/年级、同一教学周重复提交周中任务，不产生重复数据记录,数据一致性,P1,review_llm,drop_not_selected_by_review_llm,数据一致性|exception,False,True,"[""RULE-007"", ""RULE-011""]"
27,TC-027,未付费用户访问权限限制：尝试访问周末学习、学习报告、错题本等核心功能时被阻止,权限控制,P1,review_llm,drop_not_selected_by_review_llm,权限控制|risk,False,False,[]
28,TC-028,教材/年级切换后，之前周的数据独立保存且不受影响,数据隔离,P1,review_llm,drop_not_selected_by_review_llm,数据隔离|happy,False,False,"[""RULE-007"", ""RULE-011""]"
29,TC-029,教学周向前/向后切换时，正确加载对应周的任务状态和数据,教学周切换,P1,review_llm,drop_not_selected_by_review_llm,教学周切换|state,False,False,"[""RULE-007"", ""RULE-011""]"
30,TC-030,过期规则边界测试：周日23:59可操作，周一00:00后当前周仅可查看不可操作,过期规则,P2,review_llm,drop_not_selected_by_review_llm,过期规则|boundary,False,True,"[""RULE-014"", ""RULE-049""]"
31,TC-031,任务状态机验证：提交周中任务后状态变为已完成，不可逆；督导端‘完成判卷’不改变任务状态,状态迁移,P1,review_llm,drop_not_selected_by_review_llm,状态迁移|state,True,False,"[""RULE-016"", ""RULE-017"", ""RULE-042"", ""RULE-044""]"
32,TC-032,周末课程包周六与周日内容完全一致（课程列表、题目、顺序）,周末课程包,P2,review_llm,drop_not_selected_by_review_llm,周末课程包|happy,False,False,"[""RULE-047""]"
