candidate_index,case_id,description,test_module,model_priority_current,selected_by_review_llm,selected_by_review_must_keep,selected_by_review_constraints,selected_by_review_gate,retained_final,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,review_constraint_reason,bucket,rule_keys,adds_rule,adds_bucket,high_signal,has_coverage_value,retained_reason,rerank_rank,focus_score,covered_rule_ids,missing_rule_hits,core_rule_hits,coverage_gain_score,signature
1,TC-001,付费校验：未付费用户访问定位学核心功能，验证功能受限,全局控制与权限,P2,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-009"", ""RULE-010"", ""RULE-048"", ""RULE-049""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,全局控制与权限|happy,[],False,False,False,False,,0,0,"[""RULE-009"", ""RULE-010"", ""RULE-048"", ""RULE-049""]",[],[],20,全局控制与权限|付费校验：未付费用户访问定位学核心功能，验证功能受限|系统弹出付费提示或相关功能按钮置灰不可点击，未付费用户不可使用完整功能|无（操作层面）
2,TC-002,教材/年级切换：首次选择后默认加载，后续自动沿用，切换后独立计数,全局控制与权限,P1,True,True,False,True,True,retained,retained,,,,{},False,False,False,False,,全局控制与权限|happy,[],False,True,True,True,retained_default,5,0,"[""RULE-007"", ""RULE-009"", ""RULE-011""]",[],[],20,全局控制与权限|教材/年级切换：首次选择后默认加载，后续自动沿用，切换后独立计数|教材/年级可随时切换，数据独立计数；默认加载上次所选；返回后自动沿用上一次选择|切换教材/年级操作
3,TC-003,教学周自动定位并支持前后周切换，历史周补做/查看规则,全局控制与权限,P1,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-007"", ""RULE-009"", ""RULE-011"", ""RULE-049""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,全局控制与权限|happy,[],False,False,False,False,,0,0,"[""RULE-007"", ""RULE-009"", ""RULE-011"", ""RULE-049""]",[],[],20,全局控制与权限|教学周自动定位并支持前后周切换，历史周补做/查看规则|默认显示当前周；可自由切换到前/后周；当前周和上周可进行补做；更早周仅可查看，补做按钮/入口不可用|周切换操作
4,TC-004,过期规则：周日24:00后仅可查看，不可操作,全局控制与权限,P1,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""全局控制与权限|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-009"", ""RULE-014"", ""RULE-049""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,全局控制与权限|happy,[],False,False,False,False,,0,0,"[""RULE-009"", ""RULE-014"", ""RULE-049""]",[],[],20,全局控制与权限|过期规则：周日24:00后仅可查看，不可操作|上周所有操作按钮（开始任务、提交、记录等）均不可用或隐藏；查看功能正常|无
5,TC-005,周中提交任务后AI即时判分并归档错题,任务与判分,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,任务与判分|exception,[],False,True,True,True,retained_default,1,2,"[""RULE-015"", ""RULE-016"", ""RULE-017""]",[],"[""RULE-017""]",28,任务与判分|周中提交任务后ai即时判分并归档错题|提交后瞬间显示ai判分结果（对/错）；若答错，该题被自动归档到错题本（当天日期下）|提交一个错误答案
6,TC-006,督导端“完成判卷”仅流程标记，不改学情/状态,任务与判分,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,任务与判分|state,[],False,False,True,True,retained_due_to_coverage_value,23,1,"[""RULE-015"", ""RULE-042"", ""RULE-044"", ""RULE-049""]",[],[],20,任务与判分|督导端“完成判卷”仅流程标记，不改学情/状态|该任务在督导侧标记为已判，但学生端的学情状态、ai判分结果、错题归档均未改变|点击“完成判卷”
7,TC-007,周末课程包由教研基于本周错题本生成，周六与周日内容相同,任务与判分,P2,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""任务与判分|happy"", ""priority"": ""P2"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-015"", ""RULE-018"", ""RULE-047""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,任务与判分|happy,[],False,False,False,False,,0,0,"[""RULE-015"", ""RULE-018"", ""RULE-047""]",[],[],-8,任务与判分|周末课程包由教研基于本周错题本生成，周六与周日内容相同|周六和周日展示的课程包完全一致（内容、顺序、题型相同）|无
8,TC-008,连续学习天数计算：当天完成任务+1，中断清零,学习数据与统计,P1,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""学习数据与统计|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-019"", ""RULE-020""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,学习数据与统计|happy,[],False,False,False,False,,0,0,"[""RULE-019"", ""RULE-020""]",[],[],20,学习数据与统计|连续学习天数计算：当天完成任务+1，中断清零|跳过一天后连续天数清零；第二天学习后连续天数为1|跳过一天后学习
9,TC-009,知识点掌握度按本周答题情况计算，分薄弱/一般/熟练,学习数据与统计,P1,True,False,False,False,False,review_selector,drop_outside_target_window,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""学习数据与统计|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-019"", ""RULE-022""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,学习数据与统计|happy,[],False,False,False,False,,0,0,"[""RULE-019"", ""RULE-022""]",[],[],20,学习数据与统计|知识点掌握度按本周答题情况计算，分薄弱/一般/熟练|掌握度标签与本周答题情况匹配：正确率<50%显示“薄弱”，50-80%显示“一般”，>80%显示“熟练”|基于已有数据
10,TC-010,周一习题本自动生成：当日任务完成后生成，无/全对/有错题三态,学习数据与统计,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,学习数据与统计|state,[],False,True,True,True,retained_default,17,1,"[""RULE-019"", ""RULE-023""]",[],[],20,学习数据与统计|周一习题本自动生成：当日任务完成后生成，无/全对/有错题三态|周一习题本在当日任务完成后自动出现；若全部答对显示“全对”；若有错题显示“有错题”（错题内容）；若本周未产生任何题显示“无”；重新学习后习题本内容更新|完成任务触发
