case_id,module,priority,model_priority,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-004,专项计划学习报告,P2,P1,P2,P2,decided,p2_cap_guard,high,,点击【学习报告】按钮进入竖版报告列表页（横版改竖版）,REJECT,semantic_duplicate:TC-005,False,False,False
TC-007,专项计划学习报告,P2,P1,P2,P2,decided,p2_cap_guard,high,,专项计划学习报告列表为空时显示缺省状态,REJECT,semantic_duplicate:TC-008,False,False,False
TC-008,专项计划学习报告,P2,P1,P2,P2,decided,p2_cap_guard,high,,网络异常时点击学习报告按钮的错误处理,REJECT,semantic_duplicate:TC-009,False,False,False
TC-011,专项计划学习报告,P0,P1,P0,P0,decided,hard_guard_promotion,high,,专项计划学习报告新报告生成时入口小红点与列表【新】标记消除,REJECT,semantic_duplicate:TC-012,False,False,False
TC-019,论坛首页-列表排序,P2,P2,P2,P2,decided,p2_cap_guard,high,,热门排序权重公式验证：帖子按S=0.3L+0.2R+0.5T从大到小排序,PENDING,contains_pending_logic,False,True,False
TC-026,审核后台,P2,P2,P2,P2,decided,p2_cap_guard,high,,审核后台帖子列表页操作按钮：通过和删除,REJECT,semantic_duplicate:TC-027,False,False,False
TC-036,作文区-论坛详情,P2,P0,P2,P2,undetermined,conflict_resolved_by_non_blocking_experience_rule,medium,"model=P0,suggested=P2",作文论坛详情投稿时选择不展示图片，详情页只显示作文标题,REJECT,semantic_duplicate:TC-039,False,False,False
TC-052,帖子详情-回复排序,P2,P2,P2,P2,decided,p2_cap_guard,high,,回复列表热门排序：一级评论点赞数与二级回复点赞数之和排序,PENDING,contains_pending_logic,False,True,False
TC-057,权限-官方区发帖限制,P2,P2,P2,P2,decided,p2_cap_guard,high,,官方区仅官方账户有发帖权限，普通用户无法发帖,REJECT,semantic_duplicate:TC-024,False,False,False
TC-065,作文区-精选排序,P2,P2,P2,P2,decided,p2_cap_guard,high,,精选排序仅展示后台标注精选标签的作品（作文区）,REJECT,semantic_duplicate:TC-021,False,False,False
